now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099286.550590754,1779099286.550590754,1779099286.550590754,0.000000000,-0.000182158,-0.001153456,-0.000492609,1
1779099286.575482607,1779099286.575482607,1779099286.575482607,0.000000000,-0.003651868,0.001909389,-0.003895850,1
1779099286.650496244,1779099286.650496244,1779099286.650496244,0.000000000,-0.011304043,-0.000134443,-0.002979398,1
1779099286.700558901,1779099286.700558662,1779099286.700558662,0.000000000,-0.008562001,0.001776577,-0.003189628,1
1779099286.725473881,1779099286.725473881,1779099286.725473881,0.000000000,-0.009495196,0.005665084,-0.003318621,1
1779099286.800522327,1779099286.800522089,1779099286.800522089,0.000000000,-0.006314151,-0.002053166,-0.002800962,1
1779099286.850561380,1779099286.850561380,1779099286.850561380,0.000000000,-0.009099070,-0.001144641,-0.002486152,1
1779099286.875471830,1779099286.875471830,1779099286.875471830,0.000000000,-0.007077365,0.008181222,-0.003729351,1
1779099286.950466156,1779099286.950465918,1779099286.950465918,0.000000000,-0.009298566,0.004350816,-0.004481832,1
1779099287.000478268,1779099287.000478029,1779099287.000478029,0.000000000,-0.008098690,-0.003744620,-0.004353457,1
1779099287.025468349,1779099287.025468588,1779099287.025468588,0.000000000,-0.011971465,-0.005321569,-0.002678954,1
1779099287.100473642,1779099287.100473404,1779099287.100473404,0.000000000,-0.007879582,0.006358908,-0.004712446,1
1779099287.150564432,1779099287.150564194,1779099287.150564194,0.000000000,-0.008448817,-0.002176358,-0.003859847,1
1779099287.175479412,1779099287.175479412,1779099287.175479412,0.000000000,-0.007170454,-0.002186327,-0.003985139,1
1779099287.250475883,1779099287.250475645,1779099287.250475645,0.000000000,-0.008302205,0.002230394,-0.003492845,1
1779099287.300562859,1779099287.300562859,1779099287.300562859,0.000000000,-0.006432154,-0.000100758,-0.003570769,1
1779099287.325469971,1779099287.325469971,1779099287.325469971,0.000000000,-0.005994078,0.003773136,-0.005208548,1
1779099287.550472021,1779099287.550472021,1779099287.550472021,0.000000000,-0.005959251,0.010459589,-0.005272941,1
1779099287.600470781,1779099287.600470781,1779099287.600470781,0.000000000,-0.011396836,-0.001809656,-0.002261908,1
1779099287.650472403,1779099287.650472403,1779099287.650472403,0.000000000,-0.007315678,0.002855009,-0.003391677,1
1779099287.700557232,1779099287.700557232,1779099287.700557232,0.000000000,-0.013250311,-0.000104944,-0.002962150,1
