wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099286.550590754,1,1779099286.550590754,1779099286.472912312,1779099286.472912312,1779099286.482597351,1,1779099286.472912312,1779099286.471575260,1779099286.491730452,1779099286.491730452,0,0,1779099286.550590754,1779099286.491730452,,1779099286.491730452,1,0,1779099286.550590754,-0.000182158,-0.001153456,-0.000492609,1.000000000
1779099286.575482607,1,1779099286.575482607,1779099286.492825031,1779099286.492825031,1779099286.512589455,1,1779099286.492825031,1779099286.491730452,1779099286.511612177,1779099286.511612177,0,0,1779099286.575482607,1779099286.511612177,,1779099286.511612177,1,0,1779099286.575482607,-0.003651868,0.001909389,-0.003895850,1.000000000
1779099286.650496244,1,1779099286.650496244,1779099286.572834730,1779099286.572834730,1779099286.582607508,1,1779099286.572834730,1779099286.571858406,1779099286.591660500,1779099286.591660500,0,0,1779099286.650496244,1779099286.591660500,,1779099286.591660500,1,0,1779099286.650496244,-0.011304043,-0.000134443,-0.002979398,1.000000000
1779099286.700558901,1,1779099286.700558662,1779099286.622880459,1779099286.622880459,1779099286.642630577,1,1779099286.622880459,1779099286.611619234,1779099286.631756783,1779099286.631756783,0,0,1779099286.700558662,1779099286.631756783,,1779099286.631756783,1,0,1779099286.700558662,-0.008562001,0.001776577,-0.003189628,1.000000000
1779099286.725473881,1,1779099286.725473881,1779099286.642885685,1779099286.642885685,1779099286.682644844,1,1779099286.642885685,1779099286.631756783,1779099286.651650906,1779099286.671739340,0,0,1779099286.725473881,1779099286.671739340,,1779099286.671739340,1,0,1779099286.725473881,-0.009495196,0.005665084,-0.003318621,1.000000000
1779099286.800522327,1,1779099286.800522089,1779099286.722821474,1779099286.722821474,1779099286.742665768,1,1779099286.722821474,1779099286.711647511,1779099286.731795311,1779099286.751867533,0,0,1779099286.800522089,1779099286.751867533,,1779099286.751867533,1,0,1779099286.800522089,-0.006314151,-0.002053166,-0.002800962,1.000000000
1779099286.850561380,1,1779099286.850561380,1779099286.772913218,1779099286.772913218,1779099286.792652369,1,1779099286.772913218,1779099286.771809816,1779099286.791989565,1779099286.791989565,0,0,1779099286.850561380,1779099286.791989565,,1779099286.791989565,1,0,1779099286.850561380,-0.009099070,-0.001144641,-0.002486152,1.000000000
1779099286.875471830,1,1779099286.875471830,1779099286.792872190,1779099286.792872190,1779099286.812659264,1,1779099286.792872190,1779099286.791989565,1779099286.811892986,1779099286.811892986,0,0,1779099286.875471830,1779099286.811892986,,1779099286.811892986,1,0,1779099286.875471830,-0.007077365,0.008181222,-0.003729351,1.000000000
1779099286.950466156,1,1779099286.950466156,1779099286.872925758,1779099286.872925758,1779099286.882634163,1,1779099286.872925758,1779099286.866645098,1779099286.891682386,1779099286.891682386,0,0,1779099286.950466156,1779099286.891682386,,1779099286.891682386,1,0,1779099286.950465918,-0.009298566,0.004350816,-0.004481832,1.000000000
1779099287.000478268,1,1779099287.000478268,1779099286.922868252,1779099286.922868252,1779099286.942655563,1,1779099286.922868252,1779099286.911790133,1779099286.931845427,1779099286.931845427,0,0,1779099287.000478268,1779099286.931845427,,1779099286.931845427,1,0,1779099287.000478029,-0.008098690,-0.003744620,-0.004353457,1.000000000
1779099287.025468349,1,1779099287.025468349,1779099286.942955017,1779099286.942955017,1779099286.962662220,1,1779099286.942955017,1779099286.931845427,1779099286.951633453,1779099286.951633453,0,0,1779099287.025468349,1779099286.951633453,,1779099286.951633453,1,0,1779099287.025468588,-0.011971465,-0.005321569,-0.002678954,1.000000000
1779099287.100473642,1,1779099287.100473642,1779099287.022946835,1779099287.022946835,1779099287.032685280,1,1779099287.022946835,1779099287.011625290,1779099287.031652689,1779099287.051645279,0,0,1779099287.100473642,1779099287.051645279,,1779099287.051645279,1,0,1779099287.100473404,-0.007879582,0.006358908,-0.004712446,1.000000000
1779099287.150564432,1,1779099287.150564194,1779099287.072947264,1779099287.072947264,1779099287.092693806,1,1779099287.072947264,1779099287.071615934,1779099287.091628075,1779099287.091628075,0,0,1779099287.150564194,1779099287.091628075,,1779099287.091628075,1,0,1779099287.150564194,-0.008448817,-0.002176358,-0.003859847,1.000000000
1779099287.175479412,1,1779099287.175479412,1779099287.092920542,1779099287.092920542,1779099287.112699986,1,1779099287.092920542,1779099287.091628075,1779099287.111739874,1779099287.111739874,0,0,1779099287.175479412,1779099287.111739874,,1779099287.111739874,1,0,1779099287.175479412,-0.007170454,-0.002186327,-0.003985139,1.000000000
1779099287.250475883,1,1779099287.250475883,1779099287.172912121,1779099287.172912121,1779099287.182720184,1,1779099287.172912121,1779099287.171619892,1779099287.191557407,1779099287.191557407,0,0,1779099287.250475883,1779099287.191557407,,1779099287.191557407,1,0,1779099287.250475645,-0.008302205,0.002230394,-0.003492845,1.000000000
1779099287.300562859,1,1779099287.300562859,1779099287.222766161,1779099287.222766161,1779099287.242727518,1,1779099287.222766161,1779099287.211626530,1779099287.231701136,1779099287.231701136,0,0,1779099287.300562859,1779099287.231701136,,1779099287.231701136,1,0,1779099287.300562859,-0.006432154,-0.000100758,-0.003570769,1.000000000
1779099287.325469971,1,1779099287.325469971,1779099287.242853403,1779099287.242853403,1779099287.262732506,1,1779099287.242853403,1779099287.231701136,1779099287.251700878,1779099287.251700878,0,0,1779099287.325469971,1779099287.251700878,,1779099287.251700878,1,0,1779099287.325469971,-0.005994078,0.003773136,-0.005208548,1.000000000
1779099287.550472021,1,1779099287.550472021,1779099287.242853403,1779099287.242853403,1779099287.292740345,1,1779099287.242853403,1779099287.231701136,1779099287.251700878,1779099287.271798611,0,0,1779099287.550472021,1779099287.271798611,,1779099287.271798611,1,0,1779099287.550472021,-0.005959251,0.010459589,-0.005272941,1.000000000
1779099287.600470781,1,1779099287.600470781,1779099287.542982340,1779099287.542982340,1779099287.562793732,1,1779099287.542982340,1779099287.531866074,1779099287.551916361,1779099287.571868420,0,0,1779099287.600470781,1779099287.571868420,,1779099287.571868420,1,0,1779099287.600470781,-0.011396836,-0.001809656,-0.002261908,1.000000000
1779099287.650472403,1,1779099287.650472403,1779099287.592947245,1779099287.592947245,1779099287.602792263,1,1779099287.592947245,1779099287.591827393,1779099287.612002611,1779099287.612002611,0,0,1779099287.650472403,1779099287.612002611,,1779099287.612002611,1,0,1779099287.650472403,-0.007315678,0.002855009,-0.003391677,1.000000000
1779099287.700557232,1,1779099287.700557232,1779099287.622862339,1779099287.622862339,1779099287.642800570,1,1779099287.622862339,1779099287.612002611,1779099287.631921053,1779099287.651806831,0,0,1779099287.700557232,1779099287.651806831,,1779099287.651806831,1,0,1779099287.700557232,-0.013250311,-0.000104944,-0.002962150,1.000000000
1779099287.725465536,1,1779099287.725465536,1779099287.642851830,1779099287.642851830,1779099287.662804365,1,1779099287.642851830,1779099287.631921053,1779099287.651806831,1779099287.671757221,0,0,1779099287.725465536,1779099287.671757221,,1779099287.671757221,1,0,1779099287.725465536,-0.008075919,0.006652132,-0.004368222,1.000000000
1779099287.800470591,1,1779099287.800470591,1779099287.742854834,1779099287.742854834,1779099287.752821684,1,1779099287.742854834,1779099287.731868505,1779099287.751766682,1779099287.771714211,0,0,1779099287.800470591,1779099287.771714211,,1779099287.771714211,1,0,1779099287.800470591,-0.009510495,0.000614483,-0.003500652,1.000000000
1779099287.850540876,1,1779099287.850540876,1779099287.772852898,1779099287.772852898,1779099287.792828321,1,1779099287.772852898,1779099287.771714211,1779099287.791824818,1779099287.811854601,0,0,1779099287.850540876,1779099287.811854601,,1779099287.811854601,1,0,1779099287.850540876,-0.010473255,-0.001199452,-0.003631358,1.000000000
1779099287.900549173,1,1779099287.900549173,1779099287.822854996,1779099287.822854996,1779099287.842826843,1,1779099287.822854996,1779099287.811854601,1779099287.831734180,1779099287.851895809,0,0,1779099287.900549173,1779099287.851895809,,1779099287.851895809,1,0,1779099287.900549173,-0.007237514,-0.000211763,-0.003693343,1.000000000
1779099287.950471163,1,1779099287.950471163,1779099287.872842789,1779099287.872842789,1779099287.882833481,1,1779099287.872842789,1779099287.871790648,1779099287.891862154,1779099287.891862154,0,0,1779099287.950471163,1779099287.891862154,,1779099287.891862154,1,0,1779099287.950471163,-0.006448167,0.001382032,-0.002993557,1.000000000
1779099288.000472307,1,1779099288.000472307,1779099287.922943115,1779099287.922943115,1779099287.942843437,1,1779099287.922943115,1779099287.911848783,1779099287.931785107,1779099287.931785107,0,0,1779099288.000472307,1779099287.931785107,,1779099287.931785107,1,0,1779099288.000472307,-0.009608175,-0.000908378,-0.003409368,1.000000000
