now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099286.575577974,1779099286.575577974,1779099286.575577974,0.000000000,-0.000182158,-0.001153456,-0.000594134,1
1779099286.625625372,1779099286.625625372,1779099286.625625372,0.000000000,-0.012475891,-0.001207180,-0.002398609,1
1779099286.675589561,1779099286.675589561,1779099286.675589561,0.000000000,-0.012335989,0.002791339,-0.003620288,1
1779099286.725564003,1779099286.725564003,1779099286.725564003,0.000000000,-0.013361151,0.000829970,-0.003821197,1
1779099286.775619745,1779099286.775619984,1779099286.775619984,0.000000000,-0.010257408,-0.000603575,-0.004928524,1
1779099286.825572252,1779099286.825572491,1779099286.825572491,0.000000000,-0.008209342,-0.003840883,-0.003406671,1
1779099286.875564575,1779099286.875564575,1779099286.875564575,0.000000000,-0.016099964,-0.003822109,-0.002468098,1
1779099286.925546408,1779099286.925546408,1779099286.925546408,0.000000000,-0.011058427,0.002686511,-0.003787720,1
1779099286.975533247,1779099286.975533247,1779099286.975533247,0.000000000,-0.011874575,-0.000902639,-0.003635295,1
1779099287.025543928,1779099287.025543928,1779099287.025543928,0.000000000,-0.011907935,-0.001643848,-0.003107480,1
1779099287.075547695,1779099287.075547695,1779099287.075547695,0.000000000,-0.010154285,-0.004609951,-0.003343047,1
1779099287.125547409,1779099287.125547647,1779099287.125547647,0.000000000,-0.011909163,0.002165197,-0.002977710,1
1779099287.175539255,1779099287.175539255,1779099287.175539255,0.000000000,-0.019918266,0.000162826,-0.001573464,1
1779099287.225535631,1779099287.225535870,1779099287.225535870,0.000000000,-0.008865503,-0.001629632,-0.003292012,1
1779099287.275541306,1779099287.275541306,1779099287.275541306,0.000000000,-0.009928140,-0.000506584,-0.003894743,1
1779099287.325538635,1779099287.325538397,1779099287.325538397,0.000000000,-0.009870241,-0.001420897,-0.003419839,1
1779099287.550493002,1779099287.550493002,1779099287.550493002,0.000000000,-0.009573652,0.003796590,-0.003599308,1
1779099287.625500441,1779099287.625500202,1779099287.625500202,0.000000000,-0.014204979,-0.004416361,-0.002334173,1
1779099287.675496340,1779099287.675496340,1779099287.675496340,0.000000000,-0.007919988,0.001929070,-0.004639394,1
1779099287.725489855,1779099287.725489855,1779099287.725489855,0.000000000,-0.011987942,-0.002195622,-0.003310952,1
1779099287.775487900,1779099287.775487900,1779099287.775487900,0.000000000,-0.012669846,0.002153210,-0.003078511,1
1779099287.825515747,1779099287.825515747,1779099287.825515747,0.000000000,-0.011687723,-0.004691512,-0.002739047,1
1779099287.875485659,1779099287.875485897,1779099287.875485897,0.000000000,-0.009047015,-0.000868680,-0.003582882,1
1779099287.925496817,1779099287.925496817,1779099287.925496817,0.000000000,-0.011996268,0.002461943,-0.002933964,1
1779099287.975486040,1779099287.975486040,1779099287.975486040,0.000000000,-0.013120005,-0.001598979,-0.003088794,1
1779099288.025527954,1779099288.025528193,1779099288.025528193,0.000000000,-0.013678675,-0.000256406,-0.003659302,1
1779099288.050528049,1779099288.050528049,1779099288.050528049,0.000000000,-0.013678660,-0.000252408,-0.003696048,1
1779099288.125513315,1779099288.125513315,1779099288.125513315,0.000000000,-0.015346665,-0.000947601,-0.002819083,1
1779099288.175508499,1779099288.175508499,1779099288.175508499,0.000000000,-0.011220553,-0.007997513,-0.001757718,1
1779099288.225493193,1779099288.225493193,1779099288.225493193,0.000000000,-0.011701980,0.006243426,-0.003927998,1
1779099288.275492191,1779099288.275492191,1779099288.275492191,0.000000000,-0.012064922,0.004699817,-0.004920352,1
1779099288.325490713,1779099288.325490713,1779099288.325490713,0.000000000,-0.012449415,-0.001173617,-0.003084493,1
1779099288.350487232,1779099288.350487471,1779099288.350487471,0.000000000,-0.008738571,-0.003558083,-0.004019303,1
1779099288.400503397,1779099288.400503397,1779099288.400503397,0.000000000,-0.012945525,0.001279081,-0.003079494,1
1779099288.475487709,1779099288.475487947,1779099288.475487947,0.000000000,-0.010970576,-0.001109008,-0.002832486,1
1779099288.525485754,1779099288.525485992,1779099288.525485992,0.000000000,-0.009929494,-0.001308169,-0.003539404,1
1779099288.575486898,1779099288.575486898,1779099288.575486898,0.000000000,-0.008776413,0.001459293,-0.003241933,1
1779099288.625488043,1779099288.625488043,1779099288.625488043,0.000000000,-0.007819247,0.008249025,-0.005617877,1
1779099288.675485849,1779099288.675485849,1779099288.675485849,0.000000000,-0.009149177,-0.005928622,-0.003869623,1
1779099288.700488806,1779099288.700488567,1779099288.700488567,0.000000000,-0.011022738,-0.006985365,-0.003005430,1
1779099288.750485420,1779099288.750485420,1779099288.750485420,0.000000000,-0.015000388,0.001221601,-0.002637553,1
1779099288.825486183,1779099288.825486183,1779099288.825486183,0.000000000,-0.010404851,-0.002325294,-0.003228250,1
1779099288.850486040,1779099288.850486040,1779099288.850486040,0.000000000,-0.010405668,-0.002578367,-0.003273076,1
1779099288.900484324,1779099288.900484324,1779099288.900484324,0.000000000,-0.013775633,-0.001330038,-0.002943666,1
1779099288.975507498,1779099288.975507498,1779099288.975507498,0.000000000,-0.012266071,-0.000341161,-0.004270675,1
1779099289.025487900,1779099289.025487900,1779099289.025487900,0.000000000,-0.015807514,0.004677676,-0.003626797,1
1779099289.050515890,1779099289.050515890,1779099289.050515890,0.000000000,-0.012673841,-0.003015412,-0.003101461,1
1779099289.100487947,1779099289.100487947,1779099289.100487947,0.000000000,-0.011870391,-0.004031820,-0.002686681,1
1779099289.175490856,1779099289.175490856,1779099289.175490856,0.000000000,-0.012810543,0.001185967,-0.003399109,1
1779099289.200643778,1779099289.200643778,1779099289.200643778,0.000000000,-0.012809102,0.001610025,-0.003430252,1
1779099289.250590324,1779099289.250590324,1779099289.250590324,0.000000000,-0.013965449,-0.001125124,-0.002962723,1
1779099289.325529337,1779099289.325529099,1779099289.325529099,0.000000000,-0.011088441,-0.002935449,-0.002927768,1
1779099289.350521326,1779099289.350521088,1779099289.350521088,0.000000000,-0.014904038,0.006132496,-0.003243779,1
1779099289.400517225,1779099289.400517225,1779099289.400517225,0.000000000,-0.013080554,-0.006660323,-0.002482252,1
1779099289.475576878,1779099289.475577116,1779099289.475577116,0.000000000,-0.011434805,-0.001552674,-0.003954550,1
1779099289.500585556,1779099289.500585318,1779099289.500585318,0.000000000,-0.010867602,0.004243043,-0.003930405,1
1779099289.550577402,1779099289.550577402,1779099289.550577402,0.000000000,-0.012924747,-0.001104501,-0.002789038,1
1779099289.600577116,1779099289.600577116,1779099289.600577116,0.000000000,-0.012891224,0.002562090,-0.003444452,1
1779099289.650560141,1779099289.650560379,1779099289.650560379,0.000000000,-0.012578077,0.001448888,-0.004625769,1
1779099289.700556755,1779099289.700556755,1779099289.700556755,0.000000000,-0.011219508,-0.001669671,-0.003124990,1
1779099289.775531054,1779099289.775531054,1779099289.775531054,0.000000000,-0.013313671,0.003360974,-0.002958802,1
1779099289.800568104,1779099289.800567865,1779099289.800567865,0.000000000,-0.010156722,-0.001755339,-0.004209653,1
1779099289.875568390,1779099289.875568390,1779099289.875568390,0.000000000,-0.011710256,0.000272051,-0.002604819,1
1779099289.900563240,1779099289.900563240,1779099289.900563240,0.000000000,-0.011978203,-0.002420359,-0.003663298,1
1779099289.950570583,1779099289.950570345,1779099289.950570345,0.000000000,-0.012577083,0.002779295,-0.002901077,1
1779099290.000568390,1779099290.000568390,1779099290.000568390,0.000000000,-0.016777023,0.000739698,-0.002252403,1
1779099290.050569296,1779099290.050569057,1779099290.050569057,0.000000000,-0.014638850,-0.010966678,-0.002471272,1
1779099290.100561619,1779099290.100561619,1779099290.100561619,0.000000000,-0.012011595,0.003312054,-0.004472713,1
1779099290.150565624,1779099290.150565624,1779099290.150565624,0.000000000,-0.012037238,-0.003826021,-0.003518847,1
1779099290.225527763,1779099290.225527763,1779099290.225527763,0.000000000,-0.012336219,0.000963908,-0.004055860,1
1779099290.250524998,1779099290.250524998,1779099290.250524998,0.000000000,-0.013986665,-0.002046233,-0.002529536,1
1779099290.300526381,1779099290.300526381,1779099290.300526381,0.000000000,-0.011705553,-0.001238997,-0.003051601,1
1779099290.375531673,1779099290.375531912,1779099290.375531912,0.000000000,-0.008796653,-0.002969930,-0.003088164,1
1779099290.400528193,1779099290.400527954,1779099290.400527954,0.000000000,-0.011609638,0.003730510,-0.004510423,1
1779099290.450549841,1779099290.450549603,1779099290.450549603,0.000000000,-0.010957922,0.007404189,-0.003963990,1
1779099290.500525236,1779099290.500525236,1779099290.500525236,0.000000000,-0.010212762,-0.002954212,-0.005248704,1
1779099290.550526381,1779099290.550526381,1779099290.550526381,0.000000000,-0.010268777,0.003389640,-0.004056529,1
1779099290.600526333,1779099290.600526333,1779099290.600526333,0.000000000,-0.013524137,-0.007318266,-0.002565785,1
1779099290.650523663,1779099290.650523663,1779099290.650523663,0.000000000,-0.008021202,0.005699070,-0.004456790,1
1779099290.700539589,1779099290.700539827,1779099290.700539827,0.000000000,-0.010214160,-0.002794067,-0.004019062,1
1779099290.750581026,1779099290.750581026,1779099290.750581026,0.000000000,-0.013682962,-0.000653902,-0.002571871,1
1779099290.800585508,1779099290.800585508,1779099290.800585508,0.000000000,-0.010396183,0.007235455,-0.003934536,1
1779099290.875584841,1779099290.875584841,1779099290.875584841,0.000000000,-0.012038856,-0.003318281,-0.002933125,1
1779099290.900634766,1779099290.900634766,1779099290.900634766,0.000000000,-0.011813134,-0.001740196,-0.002678400,1
1779099290.950544834,1779099290.950544834,1779099290.950544834,0.000000000,-0.017423887,0.004429089,-0.003691763,1
1779099291.000557661,1779099291.000557661,1779099291.000557661,0.000000000,-0.015339670,-0.003007502,-0.002500630,1
1779099291.050547361,1779099291.050547361,1779099291.050547361,0.000000000,-0.012728797,-0.003835383,-0.002549098,1
1779099291.100545883,1779099291.100545883,1779099291.100545883,0.000000000,-0.011875100,0.002887502,-0.003740664,1
1779099291.150583029,1779099291.150582790,1779099291.150582790,0.000000000,-0.014366741,0.001120830,-0.003919934,1
