wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099286.575577974,1,1779099286.575577974,1779099286.492825031,1779099286.492825031,1779099286.512589455,1,1779099286.492825031,1779099286.491730452,1779099286.511612177,1779099286.531786919,0,0,1779099286.575577974,1779099286.531786919,,1779099286.531786919,1,0,1779099286.575577974,-0.000182158,-0.001153456,-0.000594134,1.000000000
1779099286.625625372,1,1779099286.625625372,1779099286.542755604,1779099286.542755604,1779099286.562599659,1,1779099286.542755604,1779099286.531786919,1779099286.551888466,1779099286.571858406,0,0,1779099286.625625372,1779099286.571858406,,1779099286.571858406,1,0,1779099286.625625372,-0.012475891,-0.001207180,-0.002398609,1.000000000
1779099286.675589561,1,1779099286.675589323,1779099286.592937469,1779099286.592937469,1779099286.612619162,1,1779099286.592937469,1779099286.591660500,1779099286.611619234,1779099286.611619234,0,0,1779099286.675589323,1779099286.611619234,,1779099286.611619234,1,0,1779099286.675589561,-0.012335989,0.002791339,-0.003620288,1.000000000
1779099286.725564003,1,1779099286.725564003,1779099286.642885685,1779099286.642885685,1779099286.652634144,1,1779099286.642885685,1779099286.631756783,1779099286.651650906,1779099286.651650906,0,0,1779099286.725564003,1779099286.651650906,,1779099286.651650906,1,0,1779099286.725564003,-0.013361151,0.000829970,-0.003821197,1.000000000
1779099286.775619745,1,1779099286.775619745,1779099286.672902584,1779099286.672902584,1779099286.712655544,1,1779099286.672902584,1779099286.671739340,1779099286.691816330,1779099286.691816330,0,0,1779099286.775619745,1779099286.691816330,,1779099286.691816330,1,0,1779099286.775619984,-0.010257408,-0.000603575,-0.004928524,1.000000000
1779099286.825572252,1,1779099286.825572491,1779099286.722821474,1779099286.722821474,1779099286.762672424,1,1779099286.722821474,1779099286.711647511,1779099286.731795311,1779099286.731795311,0,0,1779099286.825572491,1779099286.731795311,,1779099286.731795311,1,0,1779099286.825572491,-0.008209342,-0.003840883,-0.003406671,1.000000000
1779099286.875564575,1,1779099286.875564575,1779099286.742888689,1779099286.742888689,1779099286.802655935,1,1779099286.742888689,1779099286.731795311,1779099286.751867533,1779099286.771809816,0,0,1779099286.875564575,1779099286.771809816,,1779099286.771809816,1,0,1779099286.875564575,-0.016099964,-0.003822109,-0.002468098,1.000000000
1779099286.925546408,1,1779099286.925546408,1779099286.792872190,1779099286.792872190,1779099286.862626791,1,1779099286.792872190,1779099286.791989565,1779099286.811892986,1779099286.811892986,0,0,1779099286.925546408,1779099286.811892986,,1779099286.811892986,1,0,1779099286.925546408,-0.011058427,0.002686511,-0.003787720,1.000000000
1779099286.975533247,1,1779099286.975533247,1779099286.842909098,1779099286.842909098,1779099286.912644863,1,1779099286.842909098,1779099286.811892986,1779099286.851670027,1779099286.866645098,0,0,1779099286.975533247,1779099286.866645098,,1779099286.866645098,1,0,1779099286.975533247,-0.011874575,-0.000902639,-0.003635295,1.000000000
1779099287.025543928,1,1779099287.025543928,1779099286.922868252,1779099286.922868252,1779099286.962662220,1,1779099286.922868252,1779099286.911790133,1779099286.931845427,1779099286.931845427,0,0,1779099287.025543928,1779099286.931845427,,1779099286.931845427,1,0,1779099287.025543928,-0.011907935,-0.001643848,-0.003107480,1.000000000
1779099287.075547695,1,1779099287.075547934,1779099286.942955017,1779099286.942955017,1779099287.012679100,1,1779099286.942955017,1779099286.931845427,1779099286.951633453,1779099286.971641064,0,0,1779099287.075547934,1779099286.971641064,,1779099286.971641064,1,0,1779099287.075547695,-0.010154285,-0.004609951,-0.003343047,1.000000000
1779099287.125547409,1,1779099287.125547409,1779099286.992892504,1779099286.992892504,1779099287.062694311,1,1779099286.992892504,1779099286.991631985,1779099287.011625290,1779099287.011625290,0,0,1779099287.125547409,1779099287.011625290,,1779099287.011625290,1,0,1779099287.125547647,-0.011909163,0.002165197,-0.002977710,1.000000000
1779099287.175539255,1,1779099287.175539255,1779099287.042924643,1779099287.042924643,1779099287.102696896,1,1779099287.042924643,1779099287.031652689,1779099287.051645279,1779099287.051645279,0,0,1779099287.175539255,1779099287.051645279,,1779099287.051645279,1,0,1779099287.175539255,-0.019918266,0.000162826,-0.001573464,1.000000000
1779099287.225535631,1,1779099287.225535631,1779099287.092920542,1779099287.092920542,1779099287.162714720,1,1779099287.092920542,1779099287.091628075,1779099287.111739874,1779099287.111739874,0,0,1779099287.225535631,1779099287.111739874,,1779099287.111739874,1,0,1779099287.225535870,-0.008865503,-0.001629632,-0.003292012,1.000000000
1779099287.275541306,1,1779099287.275541306,1779099287.142906189,1779099287.142906189,1779099287.212718487,1,1779099287.142906189,1779099287.111739874,1779099287.151737690,1779099287.171619892,0,0,1779099287.275541306,1779099287.171619892,,1779099287.171619892,1,0,1779099287.275541306,-0.009928140,-0.000506584,-0.003894743,1.000000000
1779099287.325538635,1,1779099287.325538397,1779099287.222766161,1779099287.222766161,1779099287.262732506,1,1779099287.222766161,1779099287.211626530,1779099287.231701136,1779099287.231701136,0,0,1779099287.325538397,1779099287.231701136,,1779099287.231701136,1,0,1779099287.325538397,-0.009870241,-0.001420897,-0.003419839,1.000000000
1779099287.550493002,1,1779099287.550493002,1779099287.242853403,1779099287.242853403,1779099287.292740345,1,1779099287.242853403,1779099287.231701136,1779099287.251700878,1779099287.251700878,0,0,1779099287.550493002,1779099287.251700878,,1779099287.251700878,1,0,1779099287.550493002,-0.009573652,0.003796590,-0.003599308,1.000000000
1779099287.625500441,1,1779099287.625500441,1779099287.542982340,1779099287.542982340,1779099287.572795868,1,1779099287.542982340,1779099287.531866074,1779099287.551916361,1779099287.591827393,0,0,1779099287.625500441,1779099287.591827393,,1779099287.591827393,1,0,1779099287.625500202,-0.014204979,-0.004416361,-0.002334173,1.000000000
1779099287.675496340,1,1779099287.675496340,1779099287.592947245,1779099287.592947245,1779099287.612794399,1,1779099287.592947245,1779099287.591827393,1779099287.612002611,1779099287.631921053,0,0,1779099287.675496340,1779099287.631921053,,1779099287.631921053,1,0,1779099287.675496340,-0.007919988,0.001929070,-0.004639394,1.000000000
1779099287.725489855,1,1779099287.725489855,1779099287.642851830,1779099287.642851830,1779099287.652802467,1,1779099287.642851830,1779099287.631921053,1779099287.651806831,1779099287.671757221,0,0,1779099287.725489855,1779099287.671757221,,1779099287.671757221,1,0,1779099287.725489855,-0.011987942,-0.002195622,-0.003310952,1.000000000
