now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099286.575512409,1779099286.575512171,1779099286.575512171,0.000000000,-0.003506777,-0.000533763,-0.004058613,1
1779099286.625525951,1779099286.625526190,1779099286.625526190,0.000000000,-0.007251528,0.006533644,-0.003676447,1
1779099286.675502062,1779099286.675502062,1779099286.675502062,0.000000000,-0.010630792,-0.007973825,-0.003230450,1
1779099286.725540400,1779099286.725540400,1779099286.725540400,0.000000000,-0.008253805,0.001977800,-0.003424955,1
1779099286.775498867,1779099286.775498629,1779099286.775498629,0.000000000,-0.009225169,0.008207365,-0.003507391,1
1779099286.825501919,1779099286.825501919,1779099286.825501919,0.000000000,-0.008162717,0.006645220,-0.005352035,1
1779099286.875481367,1779099286.875481129,1779099286.875481129,0.000000000,-0.008720243,-0.006722333,-0.004003385,1
1779099286.925476313,1779099286.925476313,1779099286.925476313,0.000000000,-0.006831740,0.003376207,-0.003878561,1
1779099286.975500822,1779099286.975500584,1779099286.975500822,0.000000238,-0.006634854,0.002140176,-0.004659064,1
1779099287.025526524,1779099287.025526524,1779099287.025526524,0.000000000,-0.014689689,0.000244223,-0.002843910,1
1779099287.075491667,1779099287.075491667,1779099287.075491667,0.000000000,-0.011748614,-0.006376552,-0.002926316,1
1779099287.125494003,1779099287.125494003,1779099287.125494242,0.000000238,-0.008584462,0.000932523,-0.003319031,1
1779099287.175515652,1779099287.175515652,1779099287.175515652,0.000000000,-0.009410942,0.008291860,-0.004477357,1
1779099287.225525618,1779099287.225525618,1779099287.225525379,-0.000000238,-0.006488820,-0.003402843,-0.004220417,1
1779099287.275532961,1779099287.275532961,1779099287.275532961,0.000000000,-0.008310627,0.001567501,-0.003835914,1
1779099287.325532198,1779099287.325532198,1779099287.325532198,0.000000000,-0.006259764,0.000704353,-0.003729409,1
1779099287.525550127,1779099287.525550127,1779099287.525550127,0.000000000,-0.005715018,0.009831183,-0.005441487,1
1779099287.575554132,1779099287.575553894,1779099287.575554132,0.000000238,-0.008907601,0.000158006,-0.003810591,1
1779099287.625549078,1779099287.625549078,1779099287.625549078,0.000000000,-0.011042136,-0.008354257,-0.002498039,1
1779099287.675554037,1779099287.675554037,1779099287.675554037,0.000000000,-0.007040436,0.004111382,-0.003623057,1
1779099287.725550413,1779099287.725550175,1779099287.725550175,0.000000000,-0.008769602,0.003982591,-0.004626524,1
1779099287.775550127,1779099287.775550365,1779099287.775550365,0.000000000,-0.007911511,0.000428342,-0.004066907,1
1779099287.825647354,1779099287.825647354,1779099287.825647354,0.000000000,-0.007408294,-0.001970517,-0.003260949,1
1779099287.875575066,1779099287.875575066,1779099287.875575066,0.000000000,-0.009459287,-0.007542946,-0.003291985,1
1779099287.925553083,1779099287.925553083,1779099287.925553083,0.000000000,-0.007095991,0.006726925,-0.003720792,1
1779099287.975562572,1779099287.975562572,1779099287.975562334,-0.000000238,-0.007908884,-0.000158533,-0.004461806,1
1779099288.025550604,1779099288.025550604,1779099288.025550604,0.000000000,-0.007890953,0.002241780,-0.004112917,1
1779099288.075557709,1779099288.075557709,1779099288.075557709,0.000000000,-0.011188878,-0.002148959,-0.003107513,1
1779099288.125545025,1779099288.125544786,1779099288.125544786,0.000000000,-0.011214600,0.000897331,-0.003402600,1
1779099288.175564528,1779099288.175564289,1779099288.175564528,0.000000238,-0.009673404,-0.001539438,-0.002722312,1
1779099288.225549221,1779099288.225549221,1779099288.225549221,0.000000000,-0.009850039,0.005895186,-0.004163099,1
1779099288.275549412,1779099288.275549412,1779099288.275549412,0.000000000,-0.010124616,-0.008492641,-0.002527227,1
1779099288.325556040,1779099288.325556040,1779099288.325556040,0.000000000,-0.008560604,0.002620292,-0.003281981,1
1779099288.375517607,1779099288.375517607,1779099288.375517845,0.000000238,-0.007962575,0.001827811,-0.004098926,1
1779099288.425548315,1779099288.425548315,1779099288.425548315,0.000000000,-0.009894575,0.003986930,-0.004162097,1
1779099288.475548506,1779099288.475548506,1779099288.475548506,0.000000000,-0.009668623,-0.009748820,-0.003863816,1
1779099288.525537252,1779099288.525537252,1779099288.525537252,0.000000000,-0.010525516,0.003683212,-0.003524654,1
1779099288.575549603,1779099288.575549841,1779099288.575549841,0.000000000,-0.006200306,0.003482434,-0.004725845,1
1779099288.625552416,1779099288.625552416,1779099288.625552416,0.000000000,-0.007523131,0.005967546,-0.003648754,1
1779099288.675539494,1779099288.675539494,1779099288.675539255,-0.000000238,-0.009247348,-0.008321415,-0.003434409,1
1779099288.725542545,1779099288.725542545,1779099288.725542545,0.000000000,-0.008239049,0.006970161,-0.004595526,1
1779099288.775541306,1779099288.775541067,1779099288.775541067,0.000000000,-0.007050878,-0.006049162,-0.003731308,1
1779099288.825542688,1779099288.825542688,1779099288.825542450,-0.000000238,-0.005808056,-0.002867356,-0.004285019,1
1779099288.875540018,1779099288.875540018,1779099288.875540018,0.000000000,-0.014975277,0.001296884,-0.002488291,1
1779099288.925539732,1779099288.925539732,1779099288.925539732,0.000000000,-0.009404666,0.001790915,-0.003503530,1
1779099288.975541592,1779099288.975541592,1779099288.975541592,0.000000000,-0.007398412,0.003420779,-0.003989089,1
1779099289.025548220,1779099289.025548220,1779099289.025548220,0.000000000,-0.009717048,-0.005344254,-0.002645635,1
1779099289.075553894,1779099289.075553894,1779099289.075553894,0.000000000,-0.007209089,0.014078340,-0.004960229,1
1779099289.125545025,1779099289.125545025,1779099289.125545025,0.000000000,-0.008695732,-0.006070896,-0.004073288,1
1779099289.175550461,1779099289.175550461,1779099289.175550461,0.000000000,-0.010501948,-0.000882595,-0.003157444,1
