wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099286.575512409,1,1779099286.575512409,1779099286.492825031,1779099286.492825031,1779099286.512589455,1,1779099286.492825031,1779099286.491730452,1779099286.511612177,1779099286.511612177,0,0,1779099286.575512409,1779099286.511612177,,1779099286.511612177,1,0,1779099286.575512171,-0.003506777,-0.000533763,-0.004058613,1.000000000
1779099286.625525951,1,1779099286.625525951,1779099286.542755604,1779099286.542755604,1779099286.552595615,1,1779099286.542755604,1779099286.531786919,1779099286.551888466,1779099286.551888466,0,0,1779099286.625525951,1779099286.551888466,,1779099286.551888466,1,0,1779099286.625526190,-0.007251528,0.006533644,-0.003676447,1.000000000
1779099286.675502062,1,1779099286.675502062,1779099286.572834730,1779099286.572834730,1779099286.612619162,1,1779099286.572834730,1779099286.571858406,1779099286.591660500,1779099286.591660500,0,0,1779099286.675502062,1779099286.591660500,,1779099286.591660500,1,0,1779099286.675502062,-0.010630792,-0.007973825,-0.003230450,1.000000000
1779099286.725540400,1,1779099286.725540400,1779099286.622880459,1779099286.622880459,1779099286.662637711,1,1779099286.622880459,1779099286.611619234,1779099286.631756783,1779099286.631756783,0,0,1779099286.725540400,1779099286.631756783,,1779099286.631756783,1,0,1779099286.725540400,-0.008253805,0.001977800,-0.003424955,1.000000000
1779099286.775498867,1,1779099286.775498867,1779099286.642885685,1779099286.642885685,1779099286.702651978,1,1779099286.642885685,1779099286.631756783,1779099286.651650906,1779099286.671739340,0,0,1779099286.775498867,1779099286.671739340,,1779099286.671739340,1,0,1779099286.775498629,-0.009225169,0.008207365,-0.003507391,1.000000000
1779099286.825501919,1,1779099286.825501919,1779099286.692827225,1779099286.692827225,1779099286.762672424,1,1779099286.692827225,1779099286.691816330,1779099286.711647511,1779099286.711647511,0,0,1779099286.825501919,1779099286.711647511,,1779099286.711647511,1,0,1779099286.825501919,-0.008162717,0.006645220,-0.005352035,1.000000000
1779099286.875481367,1,1779099286.875481129,1779099286.742888689,1779099286.742888689,1779099286.812659264,1,1779099286.742888689,1779099286.711647511,1779099286.751867533,1779099286.771809816,0,0,1779099286.875481129,1779099286.771809816,,1779099286.771809816,1,0,1779099286.875481129,-0.008720243,-0.006722333,-0.004003385,1.000000000
1779099286.925476313,1,1779099286.925476313,1779099286.792872190,1779099286.792872190,1779099286.852632999,1,1779099286.792872190,1779099286.791989565,1779099286.811892986,1779099286.811892986,0,0,1779099286.925476313,1779099286.811892986,,1779099286.811892986,1,0,1779099286.925476313,-0.006831740,0.003376207,-0.003878561,1.000000000
1779099286.975500822,1,1779099286.975500822,1779099286.842909098,1779099286.842909098,1779099286.912644863,1,1779099286.842909098,1779099286.811892986,1779099286.851670027,1779099286.866645098,0,0,1779099286.975500822,1779099286.866645098,,1779099286.866645098,1,0,1779099286.975500584,-0.006634854,0.002140176,-0.004659064,1.000000000
1779099287.025526524,1,1779099287.025526524,1779099286.892913818,1779099286.892913818,1779099286.962662220,1,1779099286.892913818,1779099286.891682386,1779099286.911790133,1779099286.911790133,0,0,1779099287.025526524,1779099286.911790133,,1779099286.911790133,1,0,1779099287.025526524,-0.014689689,0.000244223,-0.002843910,1.000000000
1779099287.075491667,1,1779099287.075491667,1779099286.942955017,1779099286.942955017,1779099287.002675772,1,1779099286.942955017,1779099286.931845427,1779099286.971641064,1779099286.971641064,0,0,1779099287.075491667,1779099286.971641064,,1779099286.971641064,1,0,1779099287.075491667,-0.011748614,-0.006376552,-0.002926316,1.000000000
1779099287.125494003,1,1779099287.125494003,1779099286.992892504,1779099286.992892504,1779099287.062694311,1,1779099286.992892504,1779099286.991631985,1779099287.011625290,1779099287.011625290,0,0,1779099287.125494003,1779099287.011625290,,1779099287.011625290,1,0,1779099287.125494003,-0.008584462,0.000932523,-0.003319031,1.000000000
1779099287.175515652,1,1779099287.175515652,1779099287.042924643,1779099287.042924643,1779099287.102696896,1,1779099287.042924643,1779099287.011625290,1779099287.051645279,1779099287.071615934,0,0,1779099287.175515652,1779099287.071615934,,1779099287.071615934,1,0,1779099287.175515652,-0.009410942,0.008291860,-0.004477357,1.000000000
1779099287.225525618,1,1779099287.225525618,1779099287.092920542,1779099287.092920542,1779099287.162714720,1,1779099287.092920542,1779099287.091628075,1779099287.111739874,1779099287.111739874,0,0,1779099287.225525618,1779099287.111739874,,1779099287.111739874,1,0,1779099287.225525618,-0.006488820,-0.003402843,-0.004220417,1.000000000
1779099287.275532961,1,1779099287.275532961,1779099287.142906189,1779099287.142906189,1779099287.212718487,1,1779099287.142906189,1779099287.111739874,1779099287.151737690,1779099287.171619892,0,0,1779099287.275532961,1779099287.171619892,,1779099287.171619892,1,0,1779099287.275532961,-0.008310627,0.001567501,-0.003835914,1.000000000
1779099287.325532198,1,1779099287.325532198,1779099287.222766161,1779099287.222766161,1779099287.262732506,1,1779099287.222766161,1779099287.211626530,1779099287.231701136,1779099287.231701136,0,0,1779099287.325532198,1779099287.231701136,,1779099287.231701136,1,0,1779099287.325532198,-0.006259764,0.000704353,-0.003729409,1.000000000
1779099287.525550127,1,1779099287.525550127,1779099287.242853403,1779099287.242853403,1779099287.292740345,1,1779099287.242853403,1779099287.231701136,1779099287.251700878,1779099287.251700878,0,0,1779099287.525550127,1779099287.251700878,,1779099287.251700878,1,0,1779099287.525550127,-0.005715018,0.009831183,-0.005441487,1.000000000
1779099287.575554132,1,1779099287.575554132,1779099287.522886992,1779099287.522886992,1779099287.532787085,1,1779099287.522886992,1779099287.511835575,1779099287.531866074,1779099287.531866074,0,0,1779099287.575554132,1779099287.531866074,,1779099287.531866074,1,0,1779099287.575553894,-0.008907601,0.000158006,-0.003810591,1.000000000
1779099287.625549078,1,1779099287.625549078,1779099287.542982340,1779099287.542982340,1779099287.562793732,1,1779099287.542982340,1779099287.531866074,1779099287.551916361,1779099287.591827393,0,0,1779099287.625549078,1779099287.591827393,,1779099287.591827393,1,0,1779099287.625549078,-0.011042136,-0.008354257,-0.002498039,1.000000000
1779099287.675554037,1,1779099287.675554037,1779099287.592947245,1779099287.592947245,1779099287.612794399,1,1779099287.592947245,1779099287.591827393,1779099287.612002611,1779099287.631921053,0,0,1779099287.675554037,1779099287.631921053,,1779099287.631921053,1,0,1779099287.675554037,-0.007040436,0.004111382,-0.003623057,1.000000000
1779099287.725550413,1,1779099287.725550175,1779099287.642851830,1779099287.642851830,1779099287.662804365,1,1779099287.642851830,1779099287.631921053,1779099287.651806831,1779099287.671757221,0,0,1779099287.725550175,1779099287.671757221,,1779099287.671757221,1,0,1779099287.725550175,-0.008769602,0.003982591,-0.004626524,1.000000000
1779099287.775550127,1,1779099287.775550127,1779099287.692976475,1779099287.692976475,1779099287.702811956,1,1779099287.692976475,1779099287.691830873,1779099287.711742163,1779099287.711742163,0,0,1779099287.775550127,1779099287.711742163,,1779099287.711742163,1,0,1779099287.775550365,-0.007911511,0.000428342,-0.004066907,1.000000000
1779099287.825647354,1,1779099287.825647354,1779099287.742854834,1779099287.742854834,1779099287.762823343,1,1779099287.742854834,1779099287.731868505,1779099287.751766682,1779099287.751766682,0,0,1779099287.825647354,1779099287.751766682,,1779099287.751766682,1,0,1779099287.825647354,-0.007408294,-0.001970517,-0.003260949,1.000000000
1779099287.875575066,1,1779099287.875575066,1779099287.772852898,1779099287.772852898,1779099287.812822104,1,1779099287.772852898,1779099287.771714211,1779099287.791824818,1779099287.791824818,0,0,1779099287.875575066,1779099287.791824818,,1779099287.791824818,1,0,1779099287.875575066,-0.009459287,-0.007542946,-0.003291985,1.000000000
1779099287.925553083,1,1779099287.925552845,1779099287.822854996,1779099287.822854996,1779099287.852828503,1,1779099287.822854996,1779099287.811854601,1779099287.831734180,1779099287.831734180,0,0,1779099287.925552845,1779099287.831734180,,1779099287.831734180,1,0,1779099287.925553083,-0.007095991,0.006726925,-0.003720792,1.000000000
1779099287.975562572,1,1779099287.975562572,1779099287.842867374,1779099287.842867374,1779099287.912838459,1,1779099287.842867374,1779099287.831734180,1779099287.851895809,1779099287.871790648,0,0,1779099287.975562572,1779099287.871790648,,1779099287.871790648,1,0,1779099287.975562572,-0.007908884,-0.000158533,-0.004461806,1.000000000
1779099288.025550604,1,1779099288.025550604,1779099287.892890692,1779099287.892890692,1779099287.962846518,1,1779099287.892890692,1779099287.891862154,1779099287.911848783,1779099287.911848783,0,0,1779099288.025550604,1779099287.911848783,,1779099287.911848783,1,0,1779099288.025550604,-0.007890953,0.002241780,-0.004112917,1.000000000
1779099288.075557709,1,1779099288.075557709,1779099287.942884684,1779099287.942884684,1779099288.022835732,1,1779099287.942884684,1779099287.931785107,1779099287.951807737,1779099287.971718550,0,0,1779099288.075557709,1779099287.971718550,,1779099287.971718550,1,0,1779099288.075557709,-0.011188878,-0.002148959,-0.003107513,1.000000000
1779099288.125545025,1,1779099288.125545025,1779099287.992850780,1779099287.992850780,1779099288.062842369,1,1779099287.992850780,1779099287.991771460,1779099288.011765957,1779099288.011765957,0,0,1779099288.125545025,1779099288.011765957,,1779099288.011765957,1,0,1779099288.125544786,-0.011214600,0.000897331,-0.003402600,1.000000000
1779099288.175564528,1,1779099288.175564289,1779099288.092938662,1779099288.092938662,1779099288.122851372,1,1779099288.092938662,1779099288.091622591,1779099288.111743212,1779099288.111743212,0,0,1779099288.175564289,1779099288.111743212,,1779099288.111743212,1,0,1779099288.175564289,-0.009673404,-0.001539438,-0.002722312,1.000000000
1779099288.225549221,1,1779099288.225549221,1779099288.142873764,1779099288.142873764,1779099288.162847042,1,1779099288.142873764,1779099288.131608486,1779099288.151731253,1779099288.151731253,0,0,1779099288.225549221,1779099288.151731253,,1779099288.151731253,1,0,1779099288.225549221,-0.009850039,0.005895186,-0.004163099,1.000000000
1779099288.275549412,1,1779099288.275549412,1779099288.172874212,1779099288.172874212,1779099288.212853909,1,1779099288.172874212,1779099288.171750546,1779099288.191441059,1779099288.191441059,0,0,1779099288.275549412,1779099288.191441059,,1779099288.191441059,1,0,1779099288.275549412,-0.010124616,-0.008492641,-0.002527227,1.000000000
1779099288.325556040,1,1779099288.325556278,1779099288.222786903,1779099288.222786903,1779099288.262861490,1,1779099288.222786903,1779099288.211516142,1779099288.231514454,1779099288.231514454,0,0,1779099288.325556278,1779099288.231514454,,1779099288.231514454,1,0,1779099288.325556040,-0.008560604,0.002620292,-0.003281981,1.000000000
1779099288.375517607,1,1779099288.375517607,1779099288.242859602,1779099288.242859602,1779099288.322860003,1,1779099288.242859602,1779099288.231514454,1779099288.251623869,1779099288.271476030,0,0,1779099288.375517607,1779099288.271476030,,1779099288.271476030,1,0,1779099288.375517607,-0.007962575,0.001827811,-0.004098926,1.000000000
1779099288.425548315,1,1779099288.425548315,1779099288.322941542,1779099288.322941542,1779099288.372857094,1,1779099288.322941542,1779099288.291538715,1779099288.331627846,1779099288.331627846,0,0,1779099288.425548315,1779099288.331627846,,1779099288.331627846,1,0,1779099288.425548315,-0.009894575,0.003986930,-0.004162097,1.000000000
1779099288.475548506,1,1779099288.475548506,1779099288.352934599,1779099288.352934599,1779099288.402861357,1,1779099288.352934599,1779099288.351584196,1779099288.371594429,1779099288.371594429,0,0,1779099288.475548506,1779099288.371594429,,1779099288.371594429,1,0,1779099288.475548506,-0.009668623,-0.009748820,-0.003863816,1.000000000
1779099288.525537252,1,1779099288.525537252,1779099288.402974129,1779099288.402974129,1779099288.462869406,1,1779099288.402974129,1779099288.391454935,1779099288.411561966,1779099288.411561966,0,0,1779099288.525537252,1779099288.411561966,,1779099288.411561966,1,0,1779099288.525537252,-0.010525516,0.003683212,-0.003524654,1.000000000
1779099288.575549603,1,1779099288.575549603,1779099288.442941427,1779099288.442941427,1779099288.512875795,1,1779099288.442941427,1779099288.411561966,1779099288.451592207,1779099288.471633196,0,0,1779099288.575549603,1779099288.471633196,,1779099288.471633196,1,0,1779099288.575549841,-0.006200306,0.003482434,-0.004725845,1.000000000
1779099288.625552416,1,1779099288.625552416,1779099288.492923021,1779099288.492923021,1779099288.562881708,1,1779099288.492923021,1779099288.491674185,1779099288.511496782,1779099288.511496782,0,0,1779099288.625552416,1779099288.511496782,,1779099288.511496782,1,0,1779099288.625552416,-0.007523131,0.005967546,-0.003648754,1.000000000
1779099288.675539494,1,1779099288.675539494,1779099288.552926064,1779099288.552926064,1779099288.612887621,1,1779099288.552926064,1779099288.551597834,1779099288.571516514,1779099288.571516514,0,0,1779099288.675539494,1779099288.571516514,,1779099288.571516514,1,0,1779099288.675539494,-0.009247348,-0.008321415,-0.003434409,1.000000000
1779099288.725542545,1,1779099288.725542545,1779099288.622865915,1779099288.622865915,1779099288.662893295,1,1779099288.622865915,1779099288.591582298,1779099288.631585121,1779099288.631585121,0,0,1779099288.725542545,1779099288.631585121,,1779099288.631585121,1,0,1779099288.725542545,-0.008239049,0.006970161,-0.004595526,1.000000000
1779099288.775541306,1,1779099288.775541067,1779099288.642925978,1779099288.642925978,1779099288.722899199,1,1779099288.642925978,1779099288.631585121,1779099288.651453733,1779099288.671638966,0,0,1779099288.775541067,1779099288.671638966,,1779099288.671638966,1,0,1779099288.775541067,-0.007050878,-0.006049162,-0.003731308,1.000000000
1779099288.825542688,1,1779099288.825542688,1779099288.702872276,1779099288.702872276,1779099288.762902975,1,1779099288.702872276,1779099288.691621065,1779099288.711525202,1779099288.711525202,0,0,1779099288.825542688,1779099288.711525202,,1779099288.711525202,1,0,1779099288.825542688,-0.005808056,-0.002867356,-0.004285019,1.000000000
1779099288.875540018,1,1779099288.875540018,1779099288.752904415,1779099288.752904415,1779099288.812907696,1,1779099288.752904415,1779099288.751585722,1779099288.771768570,1779099288.771768570,0,0,1779099288.875540018,1779099288.771768570,,1779099288.771768570,1,0,1779099288.875540018,-0.014975277,0.001296884,-0.002488291,1.000000000
1779099288.925539732,1,1779099288.925539494,1779099288.822884798,1779099288.822884798,1779099288.872913361,1,1779099288.822884798,1779099288.791694880,1779099288.831550121,1779099288.831550121,0,0,1779099288.925539494,1779099288.831550121,,1779099288.831550121,1,0,1779099288.925539732,-0.009404666,0.001790915,-0.003503530,1.000000000
1779099288.975541592,1,1779099288.975541592,1779099288.852953672,1779099288.852953672,1779099288.912907124,1,1779099288.852953672,1779099288.851671219,1779099288.871585369,1779099288.871585369,0,0,1779099288.975541592,1779099288.871585369,,1779099288.871585369,1,0,1779099288.975541592,-0.007398412,0.003420779,-0.003989089,1.000000000
1779099289.025548220,1,1779099289.025548220,1779099288.902968884,1779099288.902968884,1779099288.962911844,1,1779099288.902968884,1779099288.891625404,1779099288.911542892,1779099288.911542892,0,0,1779099289.025548220,1779099288.911542892,,1779099288.911542892,1,0,1779099289.025548220,-0.009717048,-0.005344254,-0.002645635,1.000000000
1779099289.075553894,1,1779099289.075553894,1779099288.942884207,1779099288.942884207,1779099289.022907495,1,1779099288.942884207,1779099288.911542892,1779099288.951569557,1779099288.971574068,0,0,1779099289.075553894,1779099288.971574068,,1779099288.971574068,1,0,1779099289.075553894,-0.007209089,0.014078340,-0.004960229,1.000000000
1779099289.125545025,1,1779099289.125545025,1779099288.992893219,1779099288.992893219,1779099289.062911272,1,1779099288.992893219,1779099288.991582155,1779099289.011578560,1779099289.011578560,0,0,1779099289.125545025,1779099289.011578560,,1779099289.011578560,1,0,1779099289.125545025,-0.008695732,-0.006070896,-0.004073288,1.000000000
