now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099286.575463772,1779099286.575463772,1779099286.575463772,0.000000000,-0.003472942,-0.000495344,-0.004063341,1
1779099286.600456238,1779099286.600456238,1779099286.600456238,0.000000000,-0.008153218,0.010720698,-0.004426237,1
1779099286.650460482,1779099286.650460243,1779099286.650460243,0.000000000,-0.007276845,-0.000624794,-0.003675566,1
1779099286.725476265,1779099286.725476503,1779099286.725476503,0.000000000,-0.008266040,-0.001488950,-0.003424803,1
1779099286.750456572,1779099286.750456572,1779099286.750456572,0.000000000,-0.009232941,0.006940852,-0.003505250,1
1779099286.800455332,1779099286.800455332,1779099286.800455332,0.000000000,-0.007140307,0.002832952,-0.004577669,1
1779099286.875456572,1779099286.875456572,1779099286.875456572,0.000000000,-0.006842034,0.000687972,-0.003879313,1
1779099286.900453091,1779099286.900453091,1779099286.900453091,0.000000000,-0.009072892,0.001263788,-0.003548166,1
1779099286.950451851,1779099286.950452089,1779099286.950452089,0.000000000,-0.006627625,0.002716184,-0.004662921,1
1779099287.025452852,1779099287.025452852,1779099287.025452852,0.000000000,-0.011521425,-0.002850944,-0.002992094,1
1779099287.050451517,1779099287.050451517,1779099287.050451517,0.000000000,-0.006880422,0.004769951,-0.005055334,1
1779099287.100452423,1779099287.100452185,1779099287.100452185,0.000000000,-0.007130740,0.003247732,-0.004781226,1
1779099287.175455093,1779099287.175455093,1779099287.175455093,0.000000000,-0.006723580,-0.001148448,-0.003862809,1
1779099287.225453615,1779099287.225453615,1779099287.225453615,0.000000000,-0.006180509,0.001530019,-0.003955873,1
1779099287.250452995,1779099287.250452995,1779099287.250452995,0.000000000,-0.007965069,0.003072736,-0.003730284,1
1779099287.325452566,1779099287.325452566,1779099287.325452566,0.000000000,-0.005761677,0.001255699,-0.005441616,1
1779099287.550450087,1779099287.550450325,1779099287.550450325,0.000000000,-0.011793315,-0.004505998,-0.003072334,1
1779099287.625449896,1779099287.625450134,1779099287.625450134,0.000000000,-0.011019404,-0.001876264,-0.002496221,1
1779099287.650451422,1779099287.650451422,1779099287.650451422,0.000000000,-0.007044457,0.004020874,-0.004982714,1
1779099287.700451136,1779099287.700450897,1779099287.700450897,0.000000000,-0.012574760,0.001060694,-0.003320589,1
1779099287.775452137,1779099287.775452375,1779099287.775452375,0.000000000,-0.007786950,0.002481628,-0.004086522,1
1779099287.800452948,1779099287.800452948,1779099287.800452948,0.000000000,-0.008976132,0.001804954,-0.004207859,1
1779099287.850451946,1779099287.850451708,1779099287.850451708,0.000000000,-0.009241200,-0.001622136,-0.003738085,1
1779099287.925452709,1779099287.925452709,1779099287.925452709,0.000000000,-0.008994828,0.000774627,-0.003493058,1
1779099287.950450182,1779099287.950450182,1779099287.950450182,0.000000000,-0.005745619,0.001287618,-0.004543423,1
1779099288.000450850,1779099288.000450611,1779099288.000450611,0.000000000,-0.007973513,0.001037822,-0.004592680,1
1779099288.050451756,1779099288.050451517,1779099288.050451517,0.000000000,-0.011217854,0.000096801,-0.003402563,1
1779099288.125467062,1779099288.125467300,1779099288.125467300,0.000000000,-0.009337517,0.003735263,-0.004262596,1
1779099288.150464773,1779099288.150464535,1779099288.150464535,0.000000000,-0.005569578,-0.005131706,-0.004530495,1
1779099288.225451469,1779099288.225451708,1779099288.225451708,0.000000000,-0.009858756,0.003402239,-0.004164446,1
1779099288.275454521,1779099288.275454521,1779099288.275454521,0.000000000,-0.005402353,0.000198313,-0.004409522,1
1779099288.300450802,1779099288.300450802,1779099288.300450802,0.000000000,-0.008573339,-0.001301573,-0.003282224,1
1779099288.350451708,1779099288.350451708,1779099288.350451708,0.000000000,-0.007826160,0.000584684,-0.004111244,1
1779099288.400451422,1779099288.400451183,1779099288.400451183,0.000000000,-0.009892304,0.004583039,-0.004162618,1
1779099288.450451374,1779099288.450451374,1779099288.450451374,0.000000000,-0.009662439,-0.007789966,-0.003864083,1
1779099288.500458479,1779099288.500458479,1779099288.500458479,0.000000000,-0.010528949,0.003137446,-0.003526677,1
