wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099286.575463772,1,1779099286.575463772,1779099286.492825031,1779099286.492825031,1779099286.512589455,1,1779099286.492825031,1779099286.491730452,1779099286.511612177,1779099286.511612177,0,0,1779099286.575463772,1779099286.511612177,,1779099286.511612177,1,0,1779099286.575463772,-0.003472942,-0.000495344,-0.004063341,1.000000000
1779099286.600456238,1,1779099286.600456238,1779099286.522829533,1779099286.522829533,1779099286.542591572,1,1779099286.522829533,1779099286.511612177,1779099286.531786919,1779099286.531786919,0,0,1779099286.600456238,1779099286.531786919,,1779099286.531786919,1,0,1779099286.600456238,-0.008153218,0.010720698,-0.004426237,1.000000000
1779099286.650460482,1,1779099286.650460482,1779099286.542755604,1779099286.542755604,1779099286.592611551,1,1779099286.542755604,1779099286.531786919,1779099286.551888466,1779099286.571858406,0,0,1779099286.650460482,1779099286.571858406,,1779099286.571858406,1,0,1779099286.650460243,-0.007276845,-0.000624794,-0.003675566,1.000000000
1779099286.725476265,1,1779099286.725476503,1779099286.622880459,1779099286.622880459,1779099286.652634144,1,1779099286.622880459,1779099286.611619234,1779099286.631756783,1779099286.631756783,0,0,1779099286.725476503,1779099286.631756783,,1779099286.631756783,1,0,1779099286.725476503,-0.008266040,-0.001488950,-0.003424803,1.000000000
1779099286.750456572,1,1779099286.750456572,1779099286.642885685,1779099286.642885685,1779099286.692648411,1,1779099286.642885685,1779099286.631756783,1779099286.651650906,1779099286.651650906,0,0,1779099286.750456572,1779099286.651650906,,1779099286.651650906,1,0,1779099286.750456572,-0.009232941,0.006940852,-0.003505250,1.000000000
1779099286.800455332,1,1779099286.800455332,1779099286.672902584,1779099286.672902584,1779099286.742665768,1,1779099286.672902584,1779099286.671739340,1779099286.691816330,1779099286.691816330,0,0,1779099286.800455332,1779099286.691816330,,1779099286.691816330,1,0,1779099286.800455332,-0.007140307,0.002832952,-0.004577669,1.000000000
1779099286.875456572,1,1779099286.875456572,1779099286.792872190,1779099286.792872190,1779099286.822652578,1,1779099286.792872190,1779099286.791989565,1779099286.811892986,1779099286.811892986,0,0,1779099286.875456572,1779099286.811892986,,1779099286.811892986,1,0,1779099286.875456572,-0.006842034,0.000687972,-0.003879313,1.000000000
1779099286.900453091,1,1779099286.900453091,1779099286.822767258,1779099286.822767258,1779099286.842639685,1,1779099286.822767258,1779099286.811892986,1779099286.831819057,1779099286.831819057,0,0,1779099286.900453091,1779099286.831819057,,1779099286.831819057,1,0,1779099286.900453091,-0.009072892,0.001263788,-0.003548166,1.000000000
1779099286.950451851,1,1779099286.950451851,1779099286.842909098,1779099286.842909098,1779099286.892637730,1,1779099286.842909098,1779099286.831819057,1779099286.851670027,1779099286.866645098,0,0,1779099286.950451851,1779099286.866645098,,1779099286.866645098,1,0,1779099286.950452089,-0.006627625,0.002716184,-0.004662921,1.000000000
1779099287.025452852,1,1779099287.025452852,1779099286.942955017,1779099286.942955017,1779099286.972665787,1,1779099286.942955017,1779099286.931845427,1779099286.951633453,1779099286.971641064,0,0,1779099287.025452852,1779099286.971641064,,1779099286.971641064,1,0,1779099287.025452852,-0.011521425,-0.002850944,-0.002992094,1.000000000
1779099287.050451517,1,1779099287.050451756,1779099286.972925663,1779099286.972925663,1779099286.992672443,1,1779099286.972925663,1779099286.971641064,1779099286.991631985,1779099286.991631985,0,0,1779099287.050451756,1779099286.991631985,,1779099286.991631985,1,0,1779099287.050451517,-0.006880422,0.004769951,-0.005055334,1.000000000
1779099287.100452423,1,1779099287.100452185,1779099287.022946835,1779099287.022946835,1779099287.042688608,1,1779099287.022946835,1779099287.011625290,1779099287.031652689,1779099287.031652689,0,0,1779099287.100452185,1779099287.031652689,,1779099287.031652689,1,0,1779099287.100452185,-0.007130740,0.003247732,-0.004781226,1.000000000
1779099287.175455093,1,1779099287.175455093,1779099287.092920542,1779099287.092920542,1779099287.122703075,1,1779099287.092920542,1779099287.091628075,1779099287.111739874,1779099287.131606102,0,0,1779099287.175455093,1779099287.131606102,,1779099287.131606102,1,0,1779099287.175455093,-0.006723580,-0.001148448,-0.003862809,1.000000000
1779099287.225453615,1,1779099287.225453615,1779099287.142906189,1779099287.142906189,1779099287.162714720,1,1779099287.142906189,1779099287.131606102,1779099287.151737690,1779099287.171619892,0,0,1779099287.225453615,1779099287.171619892,,1779099287.171619892,1,0,1779099287.225453615,-0.006180509,0.001530019,-0.003955873,1.000000000
1779099287.250452995,1,1779099287.250452995,1779099287.172912121,1779099287.172912121,1779099287.192723036,1,1779099287.172912121,1779099287.171619892,1779099287.191557407,1779099287.191557407,0,0,1779099287.250452995,1779099287.191557407,,1779099287.191557407,1,0,1779099287.250452995,-0.007965069,0.003072736,-0.003730284,1.000000000
1779099287.325452566,1,1779099287.325452566,1779099287.242853403,1779099287.242853403,1779099287.262732506,1,1779099287.242853403,1779099287.231701136,1779099287.251700878,1779099287.271798611,0,0,1779099287.325452566,1779099287.271798611,,1779099287.271798611,1,0,1779099287.325452566,-0.005761677,0.001255699,-0.005441616,1.000000000
1779099287.550450087,1,1779099287.550450087,1779099287.272850037,1779099287.272850037,1779099287.282737732,1,1779099287.272850037,1779099287.271798611,1779099287.291872978,1779099287.291872978,0,0,1779099287.550450087,1779099287.291872978,,1779099287.291872978,1,0,1779099287.550450325,-0.011793315,-0.004505998,-0.003072334,1.000000000
1779099287.625449896,1,1779099287.625449896,1779099287.542982340,1779099287.542982340,1779099287.572795868,1,1779099287.542982340,1779099287.531866074,1779099287.551916361,1779099287.591827393,0,0,1779099287.625449896,1779099287.591827393,,1779099287.591827393,1,0,1779099287.625450134,-0.011019404,-0.001876264,-0.002496221,1.000000000
1779099287.650451422,1,1779099287.650451422,1779099287.572962523,1779099287.572962523,1779099287.592790127,1,1779099287.572962523,1779099287.571868420,1779099287.591827393,1779099287.612002611,0,0,1779099287.650451422,1779099287.612002611,,1779099287.612002611,1,0,1779099287.650451422,-0.007044457,0.004020874,-0.004982714,1.000000000
1779099287.700451136,1,1779099287.700451136,1779099287.622862339,1779099287.622862339,1779099287.642800570,1,1779099287.622862339,1779099287.612002611,1779099287.631921053,1779099287.651806831,0,0,1779099287.700451136,1779099287.651806831,,1779099287.651806831,1,0,1779099287.700450897,-0.012574760,0.001060694,-0.003320589,1.000000000
1779099287.775452137,1,1779099287.775452375,1779099287.692976475,1779099287.692976475,1779099287.702811956,1,1779099287.692976475,1779099287.691830873,1779099287.711742163,1779099287.711742163,0,0,1779099287.775452375,1779099287.711742163,,1779099287.711742163,1,0,1779099287.775452375,-0.007786950,0.002481628,-0.004086522,1.000000000
1779099287.800452948,1,1779099287.800453186,1779099287.722982645,1779099287.722982645,1779099287.742819786,1,1779099287.722982645,1779099287.711742163,1779099287.731868505,1779099287.731868505,0,0,1779099287.800453186,1779099287.731868505,,1779099287.731868505,1,0,1779099287.800452948,-0.008976132,0.001804954,-0.004207859,1.000000000
1779099287.850451946,1,1779099287.850451708,1779099287.742854834,1779099287.742854834,1779099287.792828321,1,1779099287.742854834,1779099287.731868505,1779099287.751766682,1779099287.771714211,0,0,1779099287.850451708,1779099287.771714211,,1779099287.771714211,1,0,1779099287.850451708,-0.009241200,-0.001622136,-0.003738085,1.000000000
1779099287.925452709,1,1779099287.925452709,1779099287.842867374,1779099287.842867374,1779099287.872831821,1,1779099287.842867374,1779099287.831734180,1779099287.851895809,1779099287.871790648,0,0,1779099287.925452709,1779099287.871790648,,1779099287.871790648,1,0,1779099287.925452709,-0.008994828,0.000774627,-0.003493058,1.000000000
1779099287.950450182,1,1779099287.950450182,1779099287.872842789,1779099287.872842789,1779099287.892835140,1,1779099287.872842789,1779099287.871790648,1779099287.891862154,1779099287.891862154,0,0,1779099287.950450182,1779099287.891862154,,1779099287.891862154,1,0,1779099287.950450182,-0.005745619,0.001287618,-0.004543423,1.000000000
