now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099286.575553894,1779099286.575553656,1779099286.575553656,0.000000000,-0.003472942,-0.000495344,-0.004063341,1
1779099286.625554085,1779099286.625554085,1779099286.625554085,0.000000000,-0.007250775,0.006468045,-0.003675566,1
1779099286.675512075,1779099286.675512314,1779099286.675512314,0.000000000,-0.010632461,-0.008028229,-0.003227709,1
1779099286.725545406,1779099286.725545406,1779099286.725545406,0.000000000,-0.008254040,0.002014666,-0.003424803,1
1779099286.775645733,1779099286.775645733,1779099286.775645733,0.000000000,-0.009228518,0.008202677,-0.003505250,1
1779099286.825679779,1779099286.825680017,1779099286.825680017,0.000000000,-0.008182659,0.006508842,-0.005348799,1
1779099286.875560760,1779099286.875560522,1779099286.875560522,0.000000000,-0.008721901,-0.006625303,-0.004010357,1
1779099286.925559759,1779099286.925559759,1779099286.925559759,0.000000000,-0.006831293,0.003393035,-0.003879344,1
1779099286.975599766,1779099286.975599766,1779099286.975599766,0.000000000,-0.006629152,0.002144637,-0.004663843,1
1779099287.025579453,1779099287.025579453,1779099287.025579453,0.000000000,-0.012326665,0.004281113,-0.004393258,1
1779099287.075592995,1779099287.075592995,1779099287.075592995,0.000000000,-0.011543274,-0.009243170,-0.002996985,1
1779099287.125594854,1779099287.125594854,1779099287.125594854,0.000000000,-0.007121930,0.005032119,-0.004781545,1
1779099287.175556898,1779099287.175556898,1779099287.175556898,0.000000000,-0.009639020,0.001915348,-0.004576551,1
1779099287.225594044,1779099287.225594282,1779099287.225594282,0.000000000,-0.006718195,-0.003139899,-0.003884373,1
1779099287.275568962,1779099287.275568962,1779099287.275568962,0.000000000,-0.006160076,0.002083533,-0.003965323,1
1779099287.325581789,1779099287.325581789,1779099287.325581789,0.000000000,-0.006363435,0.002553752,-0.004398204,1
1779099287.525603294,1779099287.525603294,1779099287.525603294,0.000000000,-0.005759868,0.001586576,-0.005441462,1
1779099287.575582504,1779099287.575582504,1779099287.575582504,0.000000000,-0.008909764,0.000143903,-0.003809871,1
1779099287.625580311,1779099287.625580311,1779099287.625580311,0.000000000,-0.011042066,-0.008301855,-0.002497828,1
1779099287.675564766,1779099287.675565004,1779099287.675565004,0.000000000,-0.007037323,0.004121393,-0.003625257,1
1779099287.725584269,1779099287.725584507,1779099287.725584507,0.000000000,-0.007822812,0.003311628,-0.004566575,1
1779099287.775587082,1779099287.775587082,1779099287.775587082,0.000000000,-0.007798550,0.000983523,-0.004087339,1
1779099287.800484896,1779099287.800484896,1779099287.800484896,0.000000000,-0.008972382,0.001866916,-0.004209133,1
1779099287.875543833,1779099287.875543833,1779099287.875543833,0.000000000,-0.010252229,-0.001838468,-0.003862992,1
1779099287.925690413,1779099287.925690413,1779099287.925690413,0.000000000,-0.006965281,-0.000218040,-0.003881390,1
1779099287.975593328,1779099287.975593090,1779099287.975593090,0.000000000,-0.007866120,0.003609845,-0.004453632,1
1779099288.025567532,1779099288.025567293,1779099288.025567293,0.000000000,-0.006679025,0.005365832,-0.004456125,1
1779099288.050604820,1779099288.050604582,1779099288.050604582,0.000000000,-0.010804085,-0.003062856,-0.003461280,1
1779099288.125569582,1779099288.125569582,1779099288.125569582,0.000000000,-0.012518507,0.002667741,-0.003330385,1
1779099288.175472498,1779099288.175472260,1779099288.175472260,0.000000000,-0.009241714,0.004272520,-0.004305031,1
1779099288.225471020,1779099288.225471020,1779099288.225471020,0.000000000,-0.009735258,-0.009617213,-0.002720154,1
1779099288.275465727,1779099288.275465727,1779099288.275465727,0.000000000,-0.008981661,0.000855502,-0.003181314,1
1779099288.325470448,1779099288.325470448,1779099288.325470448,0.000000000,-0.008064493,0.002488549,-0.004186780,1
1779099288.350455999,1779099288.350455999,1779099288.350455999,0.000000000,-0.007775456,0.000259761,-0.004113710,1
1779099288.400469065,1779099288.400469065,1779099288.400469065,0.000000000,-0.009888815,0.004235623,-0.004161614,1
1779099288.475482941,1779099288.475482941,1779099288.475482941,0.000000000,-0.010540171,-0.000086497,-0.003527305,1
1779099288.525536537,1779099288.525536537,1779099288.525536537,0.000000000,-0.006204127,0.002698062,-0.004725709,1
1779099288.550554276,1779099288.550554276,1779099288.550554276,0.000000000,-0.007530944,0.004138043,-0.003647385,1
1779099288.625545263,1779099288.625545263,1779099288.625545263,0.000000000,-0.009251493,-0.005339713,-0.003430868,1
1779099288.650465488,1779099288.650465488,1779099288.650465488,0.000000000,-0.008259049,0.003538737,-0.004592325,1
1779099288.700525284,1779099288.700525284,1779099288.700525284,0.000000000,-0.008248532,0.005828831,-0.004587897,1
