wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099286.575553894,1,1779099286.575553894,1779099286.492825031,1779099286.492825031,1779099286.512589455,1,1779099286.492825031,1779099286.491730452,1779099286.511612177,1779099286.511612177,0,0,1779099286.575553894,1779099286.511612177,,1779099286.511612177,1,0,1779099286.575553656,-0.003472942,-0.000495344,-0.004063341,1.000000000
1779099286.625554085,1,1779099286.625554085,1779099286.542755604,1779099286.542755604,1779099286.562599659,1,1779099286.542755604,1779099286.531786919,1779099286.551888466,1779099286.551888466,0,0,1779099286.625554085,1779099286.551888466,,1779099286.551888466,1,0,1779099286.625554085,-0.007250775,0.006468045,-0.003675566,1.000000000
1779099286.675512075,1,1779099286.675512314,1779099286.572834730,1779099286.572834730,1779099286.612619162,1,1779099286.572834730,1779099286.571858406,1779099286.591660500,1779099286.591660500,0,0,1779099286.675512314,1779099286.591660500,,1779099286.591660500,1,0,1779099286.675512314,-0.010632461,-0.008028229,-0.003227709,1.000000000
1779099286.725545406,1,1779099286.725545406,1779099286.622880459,1779099286.622880459,1779099286.662637711,1,1779099286.622880459,1779099286.611619234,1779099286.631756783,1779099286.631756783,0,0,1779099286.725545406,1779099286.631756783,,1779099286.631756783,1,0,1779099286.725545406,-0.008254040,0.002014666,-0.003424803,1.000000000
1779099286.775645733,1,1779099286.775645733,1779099286.642885685,1779099286.642885685,1779099286.712655544,1,1779099286.642885685,1779099286.631756783,1779099286.651650906,1779099286.671739340,0,0,1779099286.775645733,1779099286.671739340,,1779099286.671739340,1,0,1779099286.775645733,-0.009228518,0.008202677,-0.003505250,1.000000000
1779099286.825679779,1,1779099286.825679779,1779099286.692827225,1779099286.692827225,1779099286.762672424,1,1779099286.692827225,1779099286.691816330,1779099286.711647511,1779099286.711647511,0,0,1779099286.825679779,1779099286.711647511,,1779099286.711647511,1,0,1779099286.825680017,-0.008182659,0.006508842,-0.005348799,1.000000000
1779099286.875560760,1,1779099286.875560760,1779099286.742888689,1779099286.742888689,1779099286.812659264,1,1779099286.742888689,1779099286.731795311,1779099286.771809816,1779099286.771809816,0,0,1779099286.875560760,1779099286.771809816,,1779099286.771809816,1,0,1779099286.875560522,-0.008721901,-0.006625303,-0.004010357,1.000000000
1779099286.925559759,1,1779099286.925559759,1779099286.792872190,1779099286.792872190,1779099286.862626791,1,1779099286.792872190,1779099286.791989565,1779099286.811892986,1779099286.811892986,0,0,1779099286.925559759,1779099286.811892986,,1779099286.811892986,1,0,1779099286.925559759,-0.006831293,0.003393035,-0.003879344,1.000000000
1779099286.975599766,1,1779099286.975599766,1779099286.842909098,1779099286.842909098,1779099286.902641296,1,1779099286.842909098,1779099286.811892986,1779099286.851670027,1779099286.866645098,0,0,1779099286.975599766,1779099286.866645098,,1779099286.866645098,1,0,1779099286.975599766,-0.006629152,0.002144637,-0.004663843,1.000000000
1779099287.025579453,1,1779099287.025579453,1779099286.892913818,1779099286.892913818,1779099286.962662220,1,1779099286.892913818,1779099286.891682386,1779099286.911790133,1779099286.911790133,0,0,1779099287.025579453,1779099286.911790133,,1779099286.911790133,1,0,1779099287.025579453,-0.012326665,0.004281113,-0.004393258,1.000000000
1779099287.075592995,1,1779099287.075592995,1779099286.942955017,1779099286.942955017,1779099287.012679100,1,1779099286.942955017,1779099286.911790133,1779099286.951633453,1779099286.971641064,0,0,1779099287.075592995,1779099286.971641064,,1779099286.971641064,1,0,1779099287.075592995,-0.011543274,-0.009243170,-0.002996985,1.000000000
1779099287.125594854,1,1779099287.125594854,1779099287.022946835,1779099287.022946835,1779099287.062694311,1,1779099287.022946835,1779099287.011625290,1779099287.031652689,1779099287.031652689,0,0,1779099287.125594854,1779099287.031652689,,1779099287.031652689,1,0,1779099287.125594854,-0.007121930,0.005032119,-0.004781545,1.000000000
1779099287.175556898,1,1779099287.175556898,1779099287.042924643,1779099287.042924643,1779099287.112699986,1,1779099287.042924643,1779099287.031652689,1779099287.051645279,1779099287.071615934,0,0,1779099287.175556898,1779099287.071615934,,1779099287.071615934,1,0,1779099287.175556898,-0.009639020,0.001915348,-0.004576551,1.000000000
