now_sec,tracked_pose_stamp,odom_stamp,stamp_delta_sec,x,y,yaw,use_sim_time
1779099286.575478554,1779099286.575478554,1779099286.575478554,0.000000000,-0.000182158,-0.001153456,-0.000570885,1
1779099286.625495911,1779099286.625495672,1779099286.625495672,0.000000000,-0.006713191,0.006336750,-0.003098260,1
1779099286.675480127,1779099286.675479889,1779099286.675479889,0.000000000,-0.012182062,0.006257840,-0.003761861,1
1779099286.725478411,1779099286.725478411,1779099286.725478411,0.000000000,-0.016160459,0.004485593,-0.003077557,1
1779099286.775480509,1779099286.775480509,1779099286.775480509,0.000000000,-0.011014196,-0.000182459,-0.002852105,1
1779099286.825526476,1779099286.825526476,1779099286.825526476,0.000000000,-0.011363784,0.000721724,-0.002901952,1
1779099286.875540495,1779099286.875540495,1779099286.875540495,0.000000000,-0.009793318,0.000902351,-0.002899139,1
1779099286.925522327,1779099286.925522327,1779099286.925522327,0.000000000,-0.011660887,0.007924126,-0.003410939,1
1779099286.975559473,1779099286.975559235,1779099286.975559235,0.000000000,-0.012574582,-0.000934411,-0.001962779,1
1779099287.025544643,1779099287.025544643,1779099287.025544643,0.000000000,-0.014101144,-0.001664216,-0.002226181,1
1779099287.075544834,1779099287.075544834,1779099287.075544834,0.000000000,-0.011563198,0.001630431,-0.002376904,1
1779099287.125563622,1779099287.125563622,1779099287.125563622,0.000000000,-0.009119540,0.005786614,-0.003585872,1
1779099287.175555944,1779099287.175555944,1779099287.175555944,0.000000000,-0.009814153,-0.000291529,-0.002230209,1
1779099287.225536585,1779099287.225536585,1779099287.225536585,0.000000000,-0.010787809,0.002158087,-0.003248363,1
1779099287.275553465,1779099287.275553465,1779099287.275553465,0.000000000,-0.012297630,0.003493103,-0.002836743,1
1779099287.325549841,1779099287.325549841,1779099287.325549841,0.000000000,-0.007980817,0.000386680,-0.003389967,1
1779099287.550566673,1779099287.550566673,1779099287.550566673,0.000000000,-0.010427266,-0.001244130,-0.002416732,1
1779099287.625469446,1779099287.625469446,1779099287.625469446,0.000000000,-0.012676269,0.002204563,-0.003173858,1
1779099287.675470591,1779099287.675470591,1779099287.675470591,0.000000000,-0.010772662,-0.000897512,-0.002637711,1
1779099287.725562334,1779099287.725562334,1779099287.725562334,0.000000000,-0.014498345,0.002350340,-0.001993676,1
1779099287.775462627,1779099287.775462627,1779099287.775462627,0.000000000,-0.011001845,0.002985430,-0.002675610,1
1779099287.825470448,1779099287.825470448,1779099287.825470448,0.000000000,-0.008075272,-0.002981123,-0.003255787,1
1779099287.875466824,1779099287.875466585,1779099287.875466585,0.000000000,-0.010375671,0.001733341,-0.003255609,1
1779099287.925466776,1779099287.925466776,1779099287.925466776,0.000000000,-0.011132110,0.004291869,-0.003801564,1
1779099287.975467205,1779099287.975467205,1779099287.975467205,0.000000000,-0.009986033,-0.005808516,-0.002431074,1
1779099288.025467634,1779099288.025467634,1779099288.025467634,0.000000000,-0.014164126,0.003034968,-0.001978874,1
1779099288.050466299,1779099288.050466299,1779099288.050466299,0.000000000,-0.012220420,-0.005743066,-0.002325081,1
1779099288.125468731,1779099288.125468493,1779099288.125468493,0.000000000,-0.013729196,0.003801762,-0.002577908,1
1779099288.175480127,1779099288.175480127,1779099288.175480127,0.000000000,-0.014118323,0.005488795,-0.002964576,1
1779099288.225463390,1779099288.225463390,1779099288.225463390,0.000000000,-0.011395187,-0.007278303,-0.002690233,1
1779099288.275471449,1779099288.275471210,1779099288.275471210,0.000000000,-0.014565327,0.005872205,-0.002977581,1
1779099288.325468779,1779099288.325468779,1779099288.325468779,0.000000000,-0.008073130,0.004061450,-0.004465486,1
1779099288.350473881,1779099288.350473881,1779099288.350473881,0.000000000,-0.010601423,-0.003217885,-0.002295079,1
1779099288.400473356,1779099288.400473356,1779099288.400473356,0.000000000,-0.010144662,-0.000160956,-0.002729914,1
1779099288.475473881,1779099288.475474119,1779099288.475473881,-0.000000238,-0.012001677,0.003359459,-0.002949054,1
1779099288.525470495,1779099288.525470495,1779099288.525470495,0.000000000,-0.014248133,0.000183204,-0.002523938,1
1779099288.550555944,1779099288.550555706,1779099288.550555944,0.000000238,-0.010523213,-0.000538075,-0.001902382,1
1779099288.625471115,1779099288.625471115,1779099288.625471115,0.000000000,-0.012073511,0.012576606,-0.004307907,1
1779099288.675473928,1779099288.675473928,1779099288.675473928,0.000000000,-0.009769916,-0.007402027,-0.002931012,1
1779099288.700543165,1779099288.700543165,1779099288.700543165,0.000000000,-0.012179102,0.005234518,-0.003515843,1
1779099288.750539541,1779099288.750539303,1779099288.750539541,0.000000238,-0.009622732,-0.001414240,-0.003332673,1
1779099288.825547457,1779099288.825547457,1779099288.825547457,0.000000000,-0.013269241,0.001518697,-0.002611413,1
1779099288.850533724,1779099288.850533485,1779099288.850533724,0.000000238,-0.016795487,0.006374318,-0.003015876,1
1779099288.900540590,1779099288.900540590,1779099288.900540590,0.000000000,-0.010858503,-0.000249541,-0.003651920,1
1779099288.975468397,1779099288.975468397,1779099288.975468397,0.000000000,-0.012367205,0.000939116,-0.003093329,1
1779099289.025468111,1779099289.025468111,1779099289.025468111,0.000000000,-0.011277429,0.007390136,-0.003177648,1
1779099289.050473690,1779099289.050473690,1779099289.050473690,0.000000000,-0.011273519,0.008620794,-0.003222858,1
1779099289.100563526,1779099289.100563288,1779099289.100563288,0.000000000,-0.010781514,-0.000299762,-0.002469693,1
1779099289.175471306,1779099289.175471306,1779099289.175471306,0.000000000,-0.010863759,0.000273037,-0.003237770,1
1779099289.225473166,1779099289.225473404,1779099289.225473404,0.000000000,-0.012585368,0.004718408,-0.003016474,1
1779099289.250472307,1779099289.250472307,1779099289.250472069,-0.000000238,-0.008050054,-0.010413760,-0.002104232,1
1779099289.325476885,1779099289.325476885,1779099289.325476885,0.000000000,-0.012109415,0.004938112,-0.002453556,1
1779099289.350469828,1779099289.350469828,1779099289.350469828,0.000000000,-0.009542965,-0.011288710,-0.002397496,1
1779099289.400530577,1779099289.400530815,1779099289.400530815,0.000000000,-0.009983988,0.005460907,-0.003678471,1
1779099289.450468540,1779099289.450468540,1779099289.450468540,0.000000000,-0.012869581,0.005746069,-0.003191433,1
1779099289.500551462,1779099289.500551462,1779099289.500551462,0.000000000,-0.011860131,-0.000403676,-0.002778183,1
1779099289.550468445,1779099289.550468445,1779099289.550468445,0.000000000,-0.011750210,0.013052908,-0.003686279,1
1779099289.600474358,1779099289.600474358,1779099289.600474358,0.000000000,-0.010993287,0.000398233,-0.003018943,1
1779099289.650477409,1779099289.650477409,1779099289.650477171,-0.000000238,-0.010263736,-0.000004970,-0.004145320,1
1779099289.700482607,1779099289.700482607,1779099289.700482607,0.000000000,-0.012191312,0.001036024,-0.003042536,1
1779099289.775479317,1779099289.775479317,1779099289.775479078,-0.000000238,-0.011904682,-0.000478667,-0.003264590,1
1779099289.800470829,1779099289.800470591,1779099289.800470829,0.000000238,-0.011066254,0.007768233,-0.003077245,1
1779099289.875488281,1779099289.875488281,1779099289.875488281,0.000000000,-0.011779454,0.001931962,-0.002578360,1
1779099289.900491476,1779099289.900491476,1779099289.900491476,0.000000000,-0.010652499,-0.004890129,-0.002751799,1
1779099289.950479507,1779099289.950479507,1779099289.950479507,0.000000000,-0.009167638,0.004304616,-0.003230616,1
1779099290.000475168,1779099290.000475168,1779099290.000475168,0.000000000,-0.011885641,0.007937821,-0.003541620,1
1779099290.050487995,1779099290.050488234,1779099290.050488234,0.000000000,-0.009911287,-0.004619294,-0.004764855,1
1779099290.100464344,1779099290.100464344,1779099290.100464344,0.000000000,-0.010905861,-0.005655789,-0.002475971,1
1779099290.150462866,1779099290.150463104,1779099290.150463104,0.000000000,-0.011030503,0.005770434,-0.003081846,1
1779099290.225596189,1779099290.225596189,1779099290.225596189,0.000000000,-0.016991090,0.000624314,-0.001965333,1
1779099290.250475407,1779099290.250475407,1779099290.250475407,0.000000000,-0.009470131,-0.001096980,-0.003448982,1
1779099290.300454855,1779099290.300454855,1779099290.300454855,0.000000000,-0.011628867,0.005442039,-0.003011390,1
1779099290.350462914,1779099290.350462914,1779099290.350462914,0.000000000,-0.011713032,0.001578140,-0.003435023,1
1779099290.400483608,1779099290.400483608,1779099290.400483608,0.000000000,-0.009187787,-0.005469825,-0.002438712,1
1779099290.450477362,1779099290.450477123,1779099290.450477123,0.000000000,-0.009827845,0.004231917,-0.004457026,1
1779099290.500476837,1779099290.500476837,1779099290.500476837,0.000000000,-0.010657464,-0.000417120,-0.003095103,1
1779099290.575534344,1779099290.575534344,1779099290.575534344,0.000000000,-0.009875664,0.002791901,-0.003665141,1
1779099290.600541353,1779099290.600541353,1779099290.600541353,0.000000000,-0.012221325,-0.000862337,-0.002503750,1
1779099290.650462389,1779099290.650462389,1779099290.650462389,0.000000000,-0.011399465,0.004845497,-0.003088022,1
1779099290.700454950,1779099290.700454950,1779099290.700454950,0.000000000,-0.010122706,0.003307133,-0.003526498,1
1779099290.750458479,1779099290.750458479,1779099290.750458479,0.000000000,-0.011481083,0.003826561,-0.004225365,1
1779099290.825466871,1779099290.825467110,1779099290.825467110,0.000000000,-0.010483991,0.003179322,-0.004133113,1
1779099290.850467443,1779099290.850467205,1779099290.850467205,0.000000000,-0.012464928,-0.002174066,-0.003459272,1
1779099290.900460720,1779099290.900460720,1779099290.900460720,0.000000000,-0.011732558,-0.002609468,-0.002902214,1
1779099290.950464249,1779099290.950464249,1779099290.950464249,0.000000000,-0.009293451,0.000835147,-0.002879000,1
1779099291.000454664,1779099291.000454664,1779099291.000454664,0.000000000,-0.011655297,0.001896963,-0.002508700,1
1779099291.050455332,1779099291.050455093,1779099291.050455093,0.000000000,-0.010038700,0.003550795,-0.004690068,1
1779099291.100453615,1779099291.100453615,1779099291.100453615,0.000000000,-0.013851129,-0.000983382,-0.002585395,1
1779099291.150462866,1779099291.150463104,1779099291.150462866,-0.000000238,-0.007229537,0.002536248,-0.003683866,1
1779099291.200467825,1779099291.200467825,1779099291.200467825,0.000000000,-0.007228651,0.002776606,-0.003649132,1
1779099291.250469208,1779099291.250468969,1779099291.250468969,0.000000000,-0.009049412,-0.000469769,-0.003783693,1
1779099291.300466537,1779099291.300466299,1779099291.300466299,0.000000000,-0.008344242,0.004601982,-0.002963173,1
1779099291.350462675,1779099291.350462675,1779099291.350462675,0.000000000,-0.008764039,0.003805990,-0.001728602,1
1779099291.400465488,1779099291.400465250,1779099291.400465250,0.000000000,0.010824408,-0.000243248,0.000965843,1
1779099291.450561523,1779099291.450561523,1779099291.450561523,0.000000000,0.029447832,0.006704733,0.000770623,1
1779099291.500566721,1779099291.500566721,1779099291.500566721,0.000000000,0.049006354,0.005088951,0.003509349,1
