wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099286.575478554,1,1779099286.575478554,1779099286.442893505,1779099286.442893505,1779099286.522593498,1,1779099286.442893505,1779099286.431682110,1779099286.451674223,1779099286.471575260,0,0,1779099286.575478554,1779099286.471575260,,1779099286.471575260,1,0,1779099286.575478554,-0.000182158,-0.001153456,-0.000570885,1.000000000
1779099286.625495911,1,1779099286.625495911,1779099286.492825031,1779099286.492825031,1779099286.562599659,1,1779099286.492825031,1779099286.491730452,1779099286.511612177,1779099286.511612177,0,0,1779099286.625495911,1779099286.511612177,,1779099286.511612177,1,0,1779099286.625495672,-0.006713191,0.006336750,-0.003098260,1.000000000
1779099286.675480127,1,1779099286.675480127,1779099286.542755604,1779099286.542755604,1779099286.602615356,1,1779099286.542755604,1779099286.511612177,1779099286.551888466,1779099286.571858406,0,0,1779099286.675480127,1779099286.571858406,,1779099286.571858406,1,0,1779099286.675479889,-0.012182062,0.006257840,-0.003761861,1.000000000
1779099286.725478411,1,1779099286.725478411,1779099286.592937469,1779099286.592937469,1779099286.662637711,1,1779099286.592937469,1779099286.591660500,1779099286.611619234,1779099286.611619234,0,0,1779099286.725478411,1779099286.611619234,,1779099286.611619234,1,0,1779099286.725478411,-0.016160459,0.004485593,-0.003077557,1.000000000
1779099286.775480509,1,1779099286.775480509,1779099286.642885685,1779099286.642885685,1779099286.702651978,1,1779099286.642885685,1779099286.611619234,1779099286.651650906,1779099286.671739340,0,0,1779099286.775480509,1779099286.671739340,,1779099286.671739340,1,0,1779099286.775480509,-0.011014196,-0.000182459,-0.002852105,1.000000000
1779099286.825526476,1,1779099286.825526476,1779099286.692827225,1779099286.692827225,1779099286.762672424,1,1779099286.692827225,1779099286.691816330,1779099286.711647511,1779099286.711647511,0,0,1779099286.825526476,1779099286.711647511,,1779099286.711647511,1,0,1779099286.825526476,-0.011363784,0.000721724,-0.002901952,1.000000000
1779099286.875540495,1,1779099286.875540495,1779099286.822767258,1779099286.822767258,1779099286.832646132,1,1779099286.822767258,1779099286.811892986,1779099286.831819057,1779099286.831819057,0,0,1779099286.875540495,1779099286.831819057,,1779099286.831819057,1,0,1779099286.875540495,-0.009793318,0.000902351,-0.002899139,1.000000000
1779099286.925522327,1,1779099286.925522327,1779099286.842909098,1779099286.842909098,1779099286.862626791,1,1779099286.842909098,1779099286.831819057,1779099286.851670027,1779099286.866645098,0,0,1779099286.925522327,1779099286.866645098,,1779099286.866645098,1,0,1779099286.925522327,-0.011660887,0.007924126,-0.003410939,1.000000000
1779099286.975559473,1,1779099286.975559473,1779099286.892913818,1779099286.892913818,1779099286.912644863,1,1779099286.892913818,1779099286.891682386,1779099286.911790133,1779099286.911790133,0,0,1779099286.975559473,1779099286.911790133,,1779099286.911790133,1,0,1779099286.975559235,-0.012574582,-0.000934411,-0.001962779,1.000000000
1779099287.025544643,1,1779099287.025544643,1779099286.942955017,1779099286.942955017,1779099286.952658892,1,1779099286.942955017,1779099286.931845427,1779099286.951633453,1779099286.951633453,0,0,1779099287.025544643,1779099286.951633453,,1779099286.951633453,1,0,1779099287.025544643,-0.014101144,-0.001664216,-0.002226181,1.000000000
1779099287.075544834,1,1779099287.075544834,1779099286.972925663,1779099286.972925663,1779099287.012679100,1,1779099286.972925663,1779099286.971641064,1779099286.991631985,1779099286.991631985,0,0,1779099287.075544834,1779099286.991631985,,1779099286.991631985,1,0,1779099287.075544834,-0.011563198,0.001630431,-0.002376904,1.000000000
1779099287.125563622,1,1779099287.125563622,1779099287.022946835,1779099287.022946835,1779099287.062694311,1,1779099287.022946835,1779099287.011625290,1779099287.031652689,1779099287.031652689,0,0,1779099287.125563622,1779099287.031652689,,1779099287.031652689,1,0,1779099287.125563622,-0.009119540,0.005786614,-0.003585872,1.000000000
1779099287.175555944,1,1779099287.175555944,1779099287.072947264,1779099287.072947264,1779099287.112699986,1,1779099287.072947264,1779099287.071615934,1779099287.091628075,1779099287.091628075,0,0,1779099287.175555944,1779099287.091628075,,1779099287.091628075,1,0,1779099287.175555944,-0.009814153,-0.000291529,-0.002230209,1.000000000
1779099287.225536585,1,1779099287.225536585,1779099287.122942448,1779099287.122942448,1779099287.162714720,1,1779099287.122942448,1779099287.111739874,1779099287.131606102,1779099287.131606102,0,0,1779099287.225536585,1779099287.131606102,,1779099287.131606102,1,0,1779099287.225536585,-0.010787809,0.002158087,-0.003248363,1.000000000
1779099287.275553465,1,1779099287.275553465,1779099287.142906189,1779099287.142906189,1779099287.212718487,1,1779099287.142906189,1779099287.131606102,1779099287.151737690,1779099287.171619892,0,0,1779099287.275553465,1779099287.171619892,,1779099287.171619892,1,0,1779099287.275553465,-0.012297630,0.003493103,-0.002836743,1.000000000
1779099287.325549841,1,1779099287.325549841,1779099287.222766161,1779099287.222766161,1779099287.262732506,1,1779099287.222766161,1779099287.211626530,1779099287.231701136,1779099287.231701136,0,0,1779099287.325549841,1779099287.231701136,,1779099287.231701136,1,0,1779099287.325549841,-0.007980817,0.000386680,-0.003389967,1.000000000
1779099287.550566673,1,1779099287.550566673,1779099287.242853403,1779099287.242853403,1779099287.292740345,1,1779099287.242853403,1779099287.231701136,1779099287.251700878,1779099287.251700878,0,0,1779099287.550566673,1779099287.251700878,,1779099287.251700878,1,0,1779099287.550566673,-0.010427266,-0.001244130,-0.002416732,1.000000000
1779099287.625469446,1,1779099287.625469446,1779099287.542982340,1779099287.542982340,1779099287.572795868,1,1779099287.542982340,1779099287.531866074,1779099287.551916361,1779099287.591827393,0,0,1779099287.625469446,1779099287.591827393,,1779099287.591827393,1,0,1779099287.625469446,-0.012676269,0.002204563,-0.003173858,1.000000000
