stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639137545484346279,nan,nan,0,0,0,0,0,1,1,0,0,-1.4257258568184312e-16,0,0,-1.4257258568184312e-16
639137545484646194,nan,359.67752285148055,0.0038169424508640334,0.000939181927067827,0,0,0,0,0,0,0,-3.4954678040932663e-16,0.00063794053216030577,-0.0037632541172016223,0.00093918192706747745
639137545484946218,nan,353.85449563696579,0.013722844103928315,0.00015209476120498151,0,0,0,0,0,0.0013064443152868903,-0.0077068029080218387,0.00093918192706699433,0.015019964447334267,-0.0072010204561203861,0.0010912766882719758
639137545485146225,nan,362.2819516654302,0.018534554011219118,0.00025483463781446683,0,0,0,0,0,0.024655175789997819,-0.0095041459006017757,0.0010912766882716198,0.0430322738256632,-0.0070933451659199887,0.0013461113260860866
639137545485446230,nan,350.38306196732685,0.010467389384705317,0.0013337998811781011,0,0,0,0,0,0.085064938057884343,-0.0069317776472275954,0.0013461113260859791,0.07490530446296087,-0.0044122368660645074,1.2311444907877979e-05
639137545485646257,nan,361.70942825169931,0.0073231330583626028,0.00043979959143359995,0,0,0,0,0,0.096156215068431222,-0.0026246442943954557,1.2311444907650427e-05,0.088927929271754858,-0.0037994473553592638,0.00045211103634125037
639137545485946325,nan,353.0386804208058,0.0043991903355556699,0.0015005149337898737,0,0,0,0,0,0.10994577725425429,-0.0028809661896080484,0.00045211103634100241,0.10557098943215508,-0.002418249083744402,-0.0010484038974488713
639137545486146133,nan,354.69404231771608,0.005379594476067678,0.002204242534651599,0,0,0,0,0,0.11662054976137071,-0.0015012522405118307,-0.0010484038974491194,0.12034501951979444,-0.0053830510175641557,0.0011558386372024795
639137545486346263,nan,348.38892055515885,0.012100478587009335,0.00078961797197794285,0,0,0,1,1,0.1351654131143176,-0.0083571570217054383,0.0011558386372023327,0.14726300008996862,-0.0086216781006955897,0.0019454566091802756
639137545486646193,nan,284.99668050906411,0.02329888871504639,0.00056762683351665858,0,0,0,0,0,0.18766951919205471,-0.013483173812007671,0.0019454566091802288,0.16480215281062605,-0.0090197927915678985,0.0013778297756635702
639137545486946089,nan,286.34925263485798,0.005650892945808509,0.00021107063417035994,0,0,0,0,0,0.18229852031385696,-0.0094169363167356298,0.0013778297756633067,0.18646070456132063,-0.0055947885729724957,0.0011667591414929468
639137545487146238,nan,298.39690533662213,0.0048589109143495745,0.00073981648521004219,0,0,0,0,0,0.20082531123113934,-0.0033232221723697923,0.0011667591414931723,0.20469794183397771,-0.0062578000785677304,0.0019065756267032145
639137545487446663,nan,282.09522362729678,0.0017163143359156116,0.00169088516634862,0,0,0,0,0,0.23203393099312941,-0.0072515950848167001,0.0019065756267039452,0.23052081455687981,-0.0064415249952437335,0.0035974607930525653
639137545487646240,nan,276.79330175944426,0.013828413315190063,0.00046855752278165182,0,0,0,0,0,0.24766456280367447,-0.0065634995622082856,0.003597460793053005,0.26148596149721914,-0.0061230986428095395,0.0031289032702713532
639137545487846200,nan,285.84058852478148,0.006847668792090986,0.001330727306337362,0,0,0,0,0,0.29250861588592292,-0.0058040809194687005,0.0031289032702714339,0.28571682618916144,-0.0049310628204916485,0.0017981759639340718
639137545488146367,nan,284.82507831479455,0.017362053734694467,0.00050667417292759643,0,0,0,0,0,0.32208984977854505,-0.0031416942760427533,0.0017981759639343153,0.30504026626756597,-0.0064208118385233326,0.0023048501368619118
639137545488446315,nan,288.18855570166687,0.0029246509587043425,9.3987447959892074e-05,0,0,0,0,0,0.32435271069791266,-0.0079097131422851807,0.0023048501368621369,0.32154506291602308,-0.0070907521156784404,0.0023988375848220289
639137545488646338,nan,299.46925928042214,0.0067729932517313638,0.00086150912094581011,0,0,0,0,0,0.33254640105782335,-0.0075373034837914006,0.0023988375848223551,0.33931717710691067,-0.0077105930711994491,0.0032603467057681652
639137545488946192,nan,289.6016818546658,0.0034102100610545099,6.6137845813126102e-05,0,0,0,1,1,0.36593824003411435,-0.0086390602701241215,0.0032603467057684223,0.36933525757591534,-0.008938734228308225,0.0033264845515815484
639137545489146205,nan,235.66288969831004,0.010339602022137486,3.3008688845325134e-05,0,0,0,0,0,0.38937174371459393,-0.0097584946155907966,0.0033264845515817922,0.39968991946244137,-0.0090931982810731459,0.0033594932404271173
639137545489446259,nan,241.74858067919357,0.017064151487646721,0.0010036560022751028,0,0,0,0,0,0.44522112074595555,-0.0093248903323237247,0.0033594932404274343,0.42815771507088107,-0.0094844295475407514,0.0023558372381523316
639137545489646294,nan,247.2838273727458,0.0020054110951950037,0.0011803570620486314,0,0,0,0,0,0.44714868578720307,-0.0097454213583219543,0.0023558372381285069,0.4456259914101881,-0.011050440704898176,0.0035361943001771382
639137545489946284,nan,250.08603502325261,0.016080346570361101,0.0011926606567513407,0,0,0,0,0,0.47181873708031546,-0.013398590640501497,0.0035361943001783556,0.45621815142456101,-0.0094999661368601832,0.0047288549569296963
639137545490146593,nan,239.71068807788706,0.026203999813323213,0.00017859890617186007,0,0,0,0,0,0.46326469495534583,-0.0084684969632233369,0.004728854956931006,0.48945503740780721,-0.0076225841784504306,0.0045502560507591459
639137545490446311,nan,238.73143461709356,0.013889761652047456,0.00015761396060711211,0,0,0,0,0,0.5391780212781867,-0.0048139867399417729,0.00455025605075961,0.52530294545206468,-0.0054525394551129449,0.0043926420901524979
639137545490646370,nan,243.47732562788087,0.0044350183887062475,0.00079881339030070516,0,0,0,0,0,0.54922083008573996,-0.004004675906740111,0.0043926420901525022,0.54940888836745672,-0.00843570537976783,0.003593828699851797
639137545490946410,nan,247.47329708840428,0.01182179099005933,6.9838589764016287e-06,0,0,0,1,1,0.58554489246118591,-0.012907619066942894,0.0035938286998521275,0.57378567606346687,-0.011692887852120628,0.0036008125588285291
639137545491146311,nan,208.04372738602277,0.0065924213977551953,0.00053517082981389139,0,0,0,0,0,0.59003092325045137,-0.013863548525558954,0.003600812558828805,0.58426837416393773,-0.01066151043848044,0.0041359833886426963
639137545491446267,nan,213.86042431231365,0.0081686334618077776,0.00023494357834589509,0,0,0,0,0,0.59998590620759906,-0.009115085329922749,0.0041359833886430337,0.60813980602158735,-0.0096054835933857205,0.0043709269669889288
639137545491646312,nan,217.20662424132829,0.013102441163126734,0.00034028892709276563,0,0,0,0,0,0.62404631937888266,-0.0089018096278971892,0.0043709269669892385,0.63714825618946325,-0.0090167715552962723,0.0040306380398964729
639137545491946267,nan,226.83789371474603,0.01553641826036721,0.0001577831057103761,0,0,0,0,0,0.68064925001033261,-0.0081339405669809909,0.004030638039896688,0.66511308410495984,-0.0080453893286808308,0.0041884211456070641
639137545492146328,nan,227.24527563190526,0.0033150609069431294,0.0012406857300694281,0,0,0,0,0,0.6837572557192777,-0.0073977680741949201,0.0041884211456073902,0.68050067024559424,-0.0080176711870573094,0.0029477354155379621
639137545492446426,nan,230.48629521309101,0.0044574646281705273,0.0024714599665563585,0,0,0,0,0,0.70357765479839507,-0.0079761018908576144,0.0029477354155413517,0.70747668813200559,-0.010136317152072435,0.0054191953820977102
639137545492646358,nan,225.92956197752395,0.0051480460672158378,9.3423140277143664e-05,0,0,0,0,0,0.72545043902082151,-0.011547941912892264,0.0054191953820992827,0.73058957216052234,-0.011245140191290151,0.0055126185223764263
639137545492946387,nan,224.74302845576787,0.01052356101464343,0.0012552575880215074,0,0,0,1,1,0.76522601858602723,-0.012906797375475598,0.0055126185223785115,0.75470377913374631,-0.013073570688046583,0.0067678761104000189
639137545493146366,nan,189.69474236869667,0.0029111831278742922,0.0011980345589017363,0,0,0,0,0,0.77076451670301505,-0.014291356634922633,0.006767876110401091,0.7697099171151216,-0.011577907370013683,0.0055698415514993547
