stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639132033866493764,nan,nan,0,0,0,0,0,1,1,0,0,8.906339682142156e-18,0,0,8.906339682142156e-18
639132033866694099,nan,311.58455073512948,0.011932316680021243,0.0011143858323124326,0,0,0,0,0,0,0,3.3332576065620177e-15,-0.010850082185917986,-0.0049654705629112684,-0.0011143858323090993
639132033866995036,nan,308.28782829100743,0.012839245007926074,0.00060353958987432337,0,0,0,0,0,-0.027004446686934951,-0.01235841192665928,-0.0011143858323152775,-0.016627066844674271,-0.0047982399720674857,-0.0017179254221896009
639132033867193696,nan,300.45131812092671,0.0088280510717069112,0.00015492347043844011,0,0,0,0,0,-0.020408023960146172,-0.0046887898471797565,-0.0017179254221891551,-0.011601033615722693,-0.0040793583105021933,-0.0018728488926275952
639132033867393229,nan,310.07067394001626,0.0068675347214647601,0.0006151459993597049,0,0,0,0,0,-0.0066103950386457912,-0.0033655392032398896,-0.0018728488926224348,-0.013207616367093646,-0.0052733400036372455,-0.0012577028932627299
639132033867693338,nan,313.50156909141003,0.0022997358955339831,0.0012824648147337812,0,0,0,0,0,-0.015602744702189796,-0.0070533537516832313,-0.0012577028932627278,-0.016960894251564392,-0.0051974941150886222,-0.0025401677079965089
639132033867893372,nan,304.72189144123797,0.0033494332570117532,0.00085153577477385602,0,0,0,0,0,-0.019437103722038471,-0.0051474551056409894,-0.0025401677079964721,-0.017016340503858543,-0.0028325882445270466,-0.0016886319332226161
639132033868193137,nan,311.93348720629291,0.0065518791815690628,0.00027985224287124517,0,0,0,0,0,-0.017098005878100415,0.00065062144008099865,-0.0016886319332226161,-0.013860190497826198,-0.005045313283310573,-0.0019684841760938612
639132033868493512,nan,295.92528587335204,0.0034649323319495984,0.00094673767712531178,0,0,0,0,0,-0.010723360848105736,-0.0072444931369515008,-0.0019684841761104695,-0.01301507667562217,-0.0046456867511465959,-0.0010217464989851577
639132033868693196,nan,302.72056984770217,0.001852854752069342,0.00018782397169101969,0,0,0,0,0,-0.012460211490669486,-0.0043833092537547335,-0.0010217464989851553,-0.014312725390625785,-0.0044188477221326385,-0.001209570470676175
639132033868893047,nan,305.29284454681533,0.0036110467149198934,0.00052935595506969891,0,0,0,0,0,-0.015593251873632866,-0.0041950017916635631,-0.0012095704706761498,-0.012024480821838743,-0.0036440648105032633,-0.0017389264257458487
639132033869193377,nan,300.65174417135091,0.0020284474708696298,9.9674204609840906e-05,0,0,0,0,0,-0.0086330540970831152,-0.0024957524717672441,-0.001738926425745597,-0.0098235875877979821,-0.0041380767849172597,-0.0018386006303554379
639132033869394320,nan,312.87645860379052,0.0016717791520952884,0.001177739843745494,0,0,0,0,0,-0.0083687191829789585,-0.0044646362027303804,-0.0018386006303554414,-0.0084424818814674615,-0.006134787273050708,-0.00066086078660994741
639132033869693367,nan,310.7944186650252,0.0060647587172579986,0.0010421055156211532,0,0,0,0,0,-0.0064044534253454057,-0.0090812328454647484,-0.00066086078661043563,-0.011242474994680611,-0.0054240692460062554,-0.0017029663022315887
639132033869993410,nan,310.37426047639775,0.0017209274185795746,0.00040117455645977303,0,0,0,0,0,-0.014031484406245576,-0.0047161391953779606,-0.0017029663022361985,-0.012319722445480878,-0.0045387634087047084,-0.0013017917457764255
639132033870193526,nan,299.72324221137711,0.0010352316458546768,0.00071492637371783495,0,0,0,0,0,-0.01303028429534743,-0.0039548079275538144,-0.0013017917457765519,-0.013468817046022348,-0.0030170480504186957,-0.0020167181194943869
639132033870493209,nan,303.08103320288939,0.0045932770931885183,0.00050993510448442175,0,0,0,0,0,-0.015167679107480285,-0.00076729029391039722,-0.0020167181194943851,-0.011317930750130677,-0.0032728106071176874,-0.0015067830150099634
