stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639089883883040336,nan,nan,0,0,0,0,0,1,1,0,0,1.1187509252330496e-12,0,0,1.1187509252330496e-12
639089883884340522,nan,536.50499620492349,0.12537411359929607,0.045261374379854127,0,0,1,1,1,0,0,2.76043077285237e-12,0.12532859158059784,0.0033782381847488941,0.045261374382614558
639089883884540319,nan,304.21718483731769,0.11904975809470612,0.0039044014879644554,0,1,2,1,1,0.14438995314157926,0.003892038097973013,0.045261374384282287,0.2592818690349889,-0.027295981472845052,0.041356972896317831
639089883884840472,nan,271.1038702999731,0.036264378122924247,0.016361631944785543,0,1,3,1,1,0.45860493054077855,-0.072939354204314383,0.041356972897936536,0.42247665517059213,-0.07607827749398037,0.057718604842722079
639089883885140388,nan,238.66157671538559,0.11383749615987851,0.0066378118342388381,0,1,4,1,1,0.58426101423915289,-0.12443896770080054,0.057718604843759624,0.47327635913118854,-0.099113449689976818,0.064356416677998463
639089883885339936,nan,190.01393968652869,0.0080379287137080681,0.0084635178866442548,0,0,0,1,1,0.50684724231828759,-0.11433619735768646,0.06435641667879527,0.49929828803389659,-0.11709691958544269,0.055892898792151015
639089883885640449,nan,175.92948194974863,0.021722121579228992,0.0074371179472352972,0,0,0,1,1,0.5382310481775594,-0.14400292346427471,0.055892898792911788,0.55963467060614969,-0.1402967781841821,0.063330016740147085
639089883885840211,nan,143.2896670371058,0.01622691118701057,0.00029303635349166302,0,0,0,1,1,0.59945885600483739,-0.15560952035849368,0.06333001674097255,0.61558981192662665,-0.1538474455245491,0.063623053094464213
639089883886040672,nan,133.09622992354684,0.016764550032228126,0.0073707849364002681,0,0,0,1,1,0.67117932165309102,-0.16730956779143991,0.063623053095614071,0.68423266709711006,-0.17782908824164045,0.056252268159213803
639089883886340022,nan,122.15015190368254,0.026792576151737985,0.0050429906761091173,0,0,0,1,1,0.78549526023469063,-0.21320703578185118,0.056252268160952398,0.75947417197603417,-0.21959022485016885,0.061295258837061516
639089883886640421,nan,124.76547267843223,0.031782794019687269,0.0063206475822167527,0,0,0,1,1,0.83384187226084461,-0.26086637550469938,0.061295258837963391,0.80614654195454682,-0.24527424047055693,0.067615906420180144
639089883886840268,nan,100.29029196357304,0.018699191407383027,0.0052845071358929505,0,0,0,1,1,0.83702417550991282,-0.26226634142711336,0.067615906421276073,0.85255096223895677,-0.27268644954367011,0.062331399285383123
639089883887140373,nan,108.17328572887399,0.0021002741720791865,0.0077482375473380688,0,0,0,1,1,0.92174690918092084,-0.31356216252445307,0.062331399286608136,0.92279094266936013,-0.31538456359801514,0.070079636833946204
639089883887340356,nan,126.41569879083531,0.035749388418289042,0.0095558578992122889,0,0,0,1,1,0.96929134947248952,-0.34365165110412227,0.070079636834899484,0.99472892610165531,-0.36877033871946191,0.060523778935687195
639089883887540392,nan,93.296931342681034,0.0056869410324391512,0.0071306296483508308,0,0,0,1,1,1.065884635097027,-0.42157558148261493,0.060523778936712215,1.0710354858646567,-0.42398598283426758,0.053393149288361384
639089883887840321,nan,109.64121349940325,0.065412678476429245,0.0083907765180172358,0,0,1,1,1,1.1844002268228808,-0.50601703247610286,0.053393149289405049,1.1317669992738513,-0.46717682311476205,0.061783925807422285
639089883888140421,nan,122.32135982646101,0.026418730742919432,0.00089625281626831699,0,0,0,1,1,1.1922728517627454,-0.51020717859553522,0.061783925808022708,1.1680137310578951,-0.49974561099338416,0.060887672991754391
639089883888340332,nan,108.84855910726432,0.015659172572415201,0.0087610269422805087,0,0,0,1,1,1.1919867146466403,-0.52128606385328147,0.06088767299217146,1.2059593749567794,-0.52835532474181457,0.052126646049890951
639089883888640434,nan,120.35922971628617,0.0085856588347157058,0.0030822947720641897,0,0,0,1,1,1.262503633128228,-0.5709877556135452,0.052126646050126353,1.2705016009443901,-0.57410962179225411,0.055208940822190543
