stamp,rt_correlative_score,ceres_final_cost,translation_residual,rotation_residual,num_filtered_points,was_outlier,medium_outlier_streak,inserted_to_submap,num_insertion_submaps,pose_prediction_x,pose_prediction_y,pose_prediction_yaw,pose_estimate_x,pose_estimate_y,pose_estimate_yaw
639089883260544487,nan,nan,0,0,0,0,0,1,1,0,0,1.3552527156068802e-20,0,0,1.3552527156068802e-20
639089883260844699,nan,329.79006795656647,0.0071566376598080211,0.0018218271714455598,0,0,0,0,0,0,0,3.7122404759569408e-15,-0.0042951484985253863,0.0057244355153497489,-0.0018218271714418475
639089883261044458,nan,347.70966045645196,0.0040936161841633057,0.001377279115738705,0,0,0,0,0,-0.0071233787815865729,0.0094938097019469057,-0.0018218271714418254,-0.010990899892610286,0.0081521786352860125,-0.0031991062871805304
639089883261344470,nan,335.89612554592168,0.012160210754096481,0.0014610807144989221,0,0,0,0,0,-0.020947851169333696,0.011762366429737353,-0.0031991062871732476,-0.011765229602300765,0.0037905293302536096,-0.0017380255726743255
639089883261544459,nan,338.11144899410976,0.0023408736195349778,0.00041033838589450743,0,0,0,0,0,-0.012277172382044989,0.0009068547901403155,-0.0017380255726743088,-0.013277086971231148,0.0030234227944736188,-0.0013276871867798014
639089883261844766,nan,346.29875764771788,0.005758952243410274,0.0001915033204616997,0,0,0,0,0,-0.015529488483543451,0.0018805690062767076,-0.0013276871867877842,-0.0098499406601855292,0.0028335996794822049,-0.0015191905072494839
639089883262044672,nan,351.67379934158475,0.0056559499546331932,0.001836051324848932,0,0,0,0,0,-0.0075937375543287449,0.0027086328812376413,-0.0015191905072494908,-0.0077143987742557887,0.0083632956262049245,-0.0033552418320984228
639089883262344516,nan,341.37660326953062,0.0087323496939877322,0.0012917062757316906,0,0,0,0,0,-0.0045435871118151405,0.016573682185766901,-0.0033552418320986375,-0.0063983742586419395,0.0080405880331131437,-0.0020635355563669469
639089883262544356,nan,351.08755530291853,0.0039529191689928501,0.00032566560299456936,0,0,0,0,0,-0.0055332655786944056,0.0078284513011933309,-0.0020635355563669161,-0.0064872888104441405,0.0039923843531496821,-0.0017378699533723467
639089883262844315,nan,339.21738963835668,0.0098556409279114687,0.00068974703416150944,0,0,0,0,0,-0.006619504195000926,-0.0020272692970339755,-0.0017378699533900624,-0.015374964779793089,0.0024977244099312098,-0.0024276169875515718
639089883263044754,nan,340.93340028874366,0.0069271867609427603,0.00027796571717588229,0,0,0,0,0,-0.021259102930056686,0.001508176003363134,-0.0024276169875515389,-0.014510401593552508,0.0030705289377692402,-0.0021496512703756566
639089883263344777,nan,336.48762074554423,0.0049628221681603368,0.00099980751189356325,0,0,0,0,0,-0.013234091850950128,0.003916130521460775,-0.0021496512703716351,-0.0083423920298220985,0.0030789467108434969,-0.0011498437584780718
