timestamp,elapsed_time,iteration,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].n,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p50,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p90,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p95,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].peak_boundary,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].peak_count,mapping_2d_local_trajectory_builder_cpu_real_time_ratio,mapping_2d_local_trajectory_builder_latency,mapping_2d_local_trajectory_builder_real_time_ratio,mapping_2d_local_trajectory_builder_residuals[component=angle].n,mapping_2d_local_trajectory_builder_residuals[component=angle].p50,mapping_2d_local_trajectory_builder_residuals[component=angle].p90,mapping_2d_local_trajectory_builder_residuals[component=angle].p95,mapping_2d_local_trajectory_builder_residuals[component=angle].peak_boundary,mapping_2d_local_trajectory_builder_residuals[component=angle].peak_count,mapping_2d_local_trajectory_builder_residuals[component=distance].n,mapping_2d_local_trajectory_builder_residuals[component=distance].p50,mapping_2d_local_trajectory_builder_residuals[component=distance].p90,mapping_2d_local_trajectory_builder_residuals[component=distance].p95,mapping_2d_local_trajectory_builder_residuals[component=distance].peak_boundary,mapping_2d_local_trajectory_builder_residuals[component=distance].peak_count,mapping_2d_local_trajectory_builder_scores[scan_matcher=real_time_correlative].n,mapping_2d_pose_graph_constraints[tag=inter_submap_trajectory=different],mapping_2d_pose_graph_constraints[tag=inter_submap_trajectory=same],mapping_2d_pose_graph_submaps[state=active],mapping_2d_pose_graph_submaps[state=deleted],mapping_2d_pose_graph_submaps[state=frozen],mapping_2d_pose_graph_work_queue_delay,mapping_2d_pose_graph_work_queue_size,mapping_3d_pose_graph_constraints[tag=inter_submap_trajectory=different],mapping_3d_pose_graph_constraints[tag=inter_submap_trajectory=same],mapping_3d_pose_graph_submaps[state=active],mapping_3d_pose_graph_submaps[state=deleted],mapping_3d_pose_graph_submaps[state=frozen],mapping_3d_pose_graph_work_queue_delay,mapping_3d_pose_graph_work_queue_size,mapping_constraints_constraint_builder_2d_constraints[matcher=found_search_region=global],mapping_constraints_constraint_builder_2d_constraints[matcher=found_search_region=local],mapping_constraints_constraint_builder_2d_constraints[matcher=searched_search_region=global],mapping_constraints_constraint_builder_2d_constraints[matcher=searched_search_region=local],mapping_constraints_constraint_builder_2d_num_submap_scan_matchers,mapping_constraints_constraint_builder_2d_queue_length,mapping_constraints_constraint_builder_2d_scores[search_region=global].n,mapping_constraints_constraint_builder_2d_scores[search_region=global].p50,mapping_constraints_constraint_builder_2d_scores[search_region=global].p90,mapping_constraints_constraint_builder_2d_scores[search_region=global].p95,mapping_constraints_constraint_builder_2d_scores[search_region=global].peak_boundary,mapping_constraints_constraint_builder_2d_scores[search_region=global].peak_count,mapping_constraints_constraint_builder_2d_scores[search_region=local].n,mapping_constraints_constraint_builder_2d_scores[search_region=local].p50,mapping_constraints_constraint_builder_2d_scores[search_region=local].p90,mapping_constraints_constraint_builder_2d_scores[search_region=local].p95,mapping_constraints_constraint_builder_2d_scores[search_region=local].peak_boundary,mapping_constraints_constraint_builder_2d_scores[search_region=local].peak_count,mapping_constraints_constraint_builder_3d_constraints[matcher=found_search_region=global],mapping_constraints_constraint_builder_3d_constraints[matcher=found_search_region=local],mapping_constraints_constraint_builder_3d_constraints[matcher=searched_search_region=global],mapping_constraints_constraint_builder_3d_constraints[matcher=searched_search_region=local],mapping_constraints_constraint_builder_3d_num_submap_scan_matchers,mapping_constraints_constraint_builder_3d_queue_length,mapping_constraints_constraint_builder_3d_scores[kind=low_resolution_score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=low_resolution_score_search_region=local].n,mapping_constraints_constraint_builder_3d_scores[kind=rotational_score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=rotational_score_search_region=local].n,mapping_constraints_constraint_builder_3d_scores[kind=score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=score_search_region=local].n
2026-05-13T19:46:06.010267,0.0035881996154785156,1,0,,,,,,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:07.019275,1.0125985145568848,2,0,,,,,,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:08.023797,2.0171213150024414,3,0,,,,,,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:09.037443,3.0307652950286865,4,0,,,,,,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:10.085804,4.07912540435791,5,31.0,inf,inf,inf,inf,31.0,3.2884736588440275,0.036277651,0.5501320909669702,31.0,0.01,0.01,0.01,0.01,31.0,31.0,0.02,0.02,0.04,0.01,15.0,0,0.0,0.0,1.0,0.0,14.0,1.1146e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:11.126351,5.119675636291504,6,73.0,inf,inf,inf,inf,73.0,16.63012500298012,0.02196628,1.365670473106962,73.0,0.01,0.01,0.01,0.01,73.0,73.0,0.01,0.02,0.04,0.01,41.0,0,0.0,0.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:12.172245,6.165569067001343,7,114.0,inf,inf,inf,inf,114.0,8.27909969121943,0.022638035,0.8845025639371968,114.0,0.01,0.01,0.01,0.01,114.0,114.0,0.01,0.02,0.04,0.01,75.0,0,0.0,0.0,1.0,0.0,14.0,2.096e-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:13.235257,7.228581190109253,8,157.0,inf,inf,inf,inf,132.0,7.1197304279478475,0.004215728,7.118462101919289,157.0,0.01,0.01,0.01,0.01,157.0,157.0,0.01,0.04,0.04,0.01,85.0,0,1.0,0.0,1.0,0.0,14.0,0.004177788,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:14.281073,8.274397611618042,9,199.0,inf,inf,inf,inf,132.0,13.741687651292937,0.001489448,13.442496817612968,199.0,0.01,0.01,0.01,0.01,199.0,199.0,0.01,0.04,0.04,0.01,100.0,0,2.0,0.0,1.0,0.0,14.0,4.228e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0,0.7000000000000001,0.7500000000000001,0.7500000000000001,0.7000000000000001,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-13T19:46:15.316846,9.310167789459229,10,240.0,inf,inf,inf,inf,144.0,4.018568064211299,0.017605317,1.709722125423814,240.0,0.01,0.01,0.01,0.01,235.0,240.0,0.01,0.04,0.04,0.01,121.0,0,3.0,0.0,2.0,0.0,14.0,1.5915e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,7.0,0.0,3.0,0.7000000000000001,0.7500000000000001,0.7500000000000001,0.65,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
