timestamp,elapsed_time,iteration,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].n,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p50,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p90,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p95,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].peak_boundary,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].peak_count,mapping_2d_local_trajectory_builder_cpu_real_time_ratio,mapping_2d_local_trajectory_builder_latency,mapping_2d_local_trajectory_builder_real_time_ratio,mapping_2d_local_trajectory_builder_residuals[component=angle].n,mapping_2d_local_trajectory_builder_residuals[component=angle].p50,mapping_2d_local_trajectory_builder_residuals[component=angle].p90,mapping_2d_local_trajectory_builder_residuals[component=angle].p95,mapping_2d_local_trajectory_builder_residuals[component=angle].peak_boundary,mapping_2d_local_trajectory_builder_residuals[component=angle].peak_count,mapping_2d_local_trajectory_builder_residuals[component=distance].n,mapping_2d_local_trajectory_builder_residuals[component=distance].p50,mapping_2d_local_trajectory_builder_residuals[component=distance].p90,mapping_2d_local_trajectory_builder_residuals[component=distance].p95,mapping_2d_local_trajectory_builder_residuals[component=distance].peak_boundary,mapping_2d_local_trajectory_builder_residuals[component=distance].peak_count,mapping_2d_local_trajectory_builder_scores[scan_matcher=real_time_correlative].n,mapping_2d_pose_graph_constraints[tag=inter_submap_trajectory=different],mapping_2d_pose_graph_constraints[tag=inter_submap_trajectory=same],mapping_2d_pose_graph_submaps[state=active],mapping_2d_pose_graph_submaps[state=deleted],mapping_2d_pose_graph_submaps[state=frozen],mapping_2d_pose_graph_work_queue_delay,mapping_2d_pose_graph_work_queue_size,mapping_3d_pose_graph_constraints[tag=inter_submap_trajectory=different],mapping_3d_pose_graph_constraints[tag=inter_submap_trajectory=same],mapping_3d_pose_graph_submaps[state=active],mapping_3d_pose_graph_submaps[state=deleted],mapping_3d_pose_graph_submaps[state=frozen],mapping_3d_pose_graph_work_queue_delay,mapping_3d_pose_graph_work_queue_size,mapping_constraints_constraint_builder_2d_constraints[matcher=found_search_region=global],mapping_constraints_constraint_builder_2d_constraints[matcher=found_search_region=local],mapping_constraints_constraint_builder_2d_constraints[matcher=searched_search_region=global],mapping_constraints_constraint_builder_2d_constraints[matcher=searched_search_region=local],mapping_constraints_constraint_builder_2d_num_submap_scan_matchers,mapping_constraints_constraint_builder_2d_queue_length,mapping_constraints_constraint_builder_2d_scores[search_region=global].n,mapping_constraints_constraint_builder_2d_scores[search_region=global].p50,mapping_constraints_constraint_builder_2d_scores[search_region=global].p90,mapping_constraints_constraint_builder_2d_scores[search_region=global].p95,mapping_constraints_constraint_builder_2d_scores[search_region=global].peak_boundary,mapping_constraints_constraint_builder_2d_scores[search_region=global].peak_count,mapping_constraints_constraint_builder_2d_scores[search_region=local].n,mapping_constraints_constraint_builder_2d_scores[search_region=local].p50,mapping_constraints_constraint_builder_2d_scores[search_region=local].p90,mapping_constraints_constraint_builder_2d_scores[search_region=local].p95,mapping_constraints_constraint_builder_2d_scores[search_region=local].peak_boundary,mapping_constraints_constraint_builder_2d_scores[search_region=local].peak_count,mapping_constraints_constraint_builder_3d_constraints[matcher=found_search_region=global],mapping_constraints_constraint_builder_3d_constraints[matcher=found_search_region=local],mapping_constraints_constraint_builder_3d_constraints[matcher=searched_search_region=global],mapping_constraints_constraint_builder_3d_constraints[matcher=searched_search_region=local],mapping_constraints_constraint_builder_3d_num_submap_scan_matchers,mapping_constraints_constraint_builder_3d_queue_length,mapping_constraints_constraint_builder_3d_scores[kind=low_resolution_score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=low_resolution_score_search_region=local].n,mapping_constraints_constraint_builder_3d_scores[kind=rotational_score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=rotational_score_search_region=local].n,mapping_constraints_constraint_builder_3d_scores[kind=score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=score_search_region=local].n
2026-05-14T17:22:46.129935,0.03460288047790527,1,32.0,inf,inf,inf,inf,32.0,4.399153011164289,0.026975099,1.1132081480034606,32.0,0.01,0.01,0.01,0.01,32.0,32.0,0.01,0.04,0.04,0.01,20.0,0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:47.165582,1.0702497959136963,2,74.0,inf,inf,inf,inf,74.0,1.581770780316554,0.022924894,0.8730465667583893,74.0,0.01,0.01,0.01,0.01,74.0,74.0,0.01,0.02,0.04,0.01,55.0,0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:48.201466,2.1061339378356934,3,115.0,inf,inf,inf,inf,115.0,1.029718320114885,0.02910367,1.0296192885639508,115.0,0.01,0.01,0.01,0.01,115.0,115.0,0.01,0.02,0.02,0.01,84.0,0,0.0,0.0,1.0,0.0,14.0,1.5671e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:49.252420,3.157087564468384,4,157.0,inf,inf,inf,inf,136.0,1.1164091932192808,0.026964526,1.1129251817740093,157.0,0.01,0.01,0.01,0.01,157.0,157.0,0.01,0.04,0.04,0.01,94.0,0,1.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.6,0.6,0.6,0.6,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:50.300195,4.204856634140015,5,199.0,inf,inf,inf,inf,136.0,9.36598486709059,0.002137753,9.365862192685496,199.0,0.01,0.01,0.01,0.01,199.0,199.0,0.01,0.04,0.04,0.01,107.0,0,2.0,0.0,1.0,0.0,14.0,2.9292e-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0,0.6,0.7000000000000001,0.7000000000000001,0.6,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:51.340262,5.244930267333984,6,241.0,inf,inf,inf,inf,148.0,2.5103547917579925,0.028058958,0.710632233741538,241.0,0.01,0.01,0.01,0.01,234.0,241.0,0.01,0.04,0.04,0.01,124.0,0,3.0,0.0,2.0,0.0,14.0,1.0787e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,7.0,0.0,3.0,0.65,0.7000000000000001,0.7000000000000001,0.6,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:52.396829,6.301497459411621,7,283.0,inf,inf,inf,inf,158.0,30.160266324765097,0.001006039,30.140779830602987,283.0,0.01,0.01,0.01,0.01,274.0,283.0,0.01,0.04,0.04,0.01,148.0,0,3.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,7.0,0.0,3.0,0.65,0.7000000000000001,0.7000000000000001,0.6,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:53.426042,7.330710172653198,8,324.0,inf,inf,inf,inf,185.0,1.8560602872397245,0.020788841,0.9546708255645421,324.0,0.01,0.01,0.01,0.01,313.0,324.0,0.01,0.04,0.04,0.01,171.0,0,4.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,7.0,0.0,4.0,0.65,0.7500000000000001,0.7500000000000001,0.6,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:54.473521,8.378189325332642,9,365.0,inf,inf,inf,inf,185.0,1.7231729513704495,0.047581363,0.6290088831629308,365.0,0.01,0.01,0.01,0.01,352.0,365.0,0.01,0.04,0.04,0.01,191.0,0,8.0,1.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,22.0,1.0,8.0,0.0,8.0,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.7500000000000001,3.0,1.0,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:22:55.519080,9.42374873161316,10,407.0,81.92,inf,inf,inf,193.0,3.544910615133207,0.028627465,1.0488319521131193,407.0,0.01,0.01,0.01,0.01,391.0,407.0,0.02,0.04,0.04,0.01,197.0,0,8.0,1.0,3.0,0.0,14.0,2.041e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,24.0,1.0,8.0,1.0,9.0,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.7500000000000001,4.0,1.0,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
