timestamp,elapsed_time,iteration,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].n,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p50,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p90,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].p95,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].peak_boundary,mapping_2d_local_trajectory_builder_costs[scan_matcher=ceres].peak_count,mapping_2d_local_trajectory_builder_cpu_real_time_ratio,mapping_2d_local_trajectory_builder_latency,mapping_2d_local_trajectory_builder_real_time_ratio,mapping_2d_local_trajectory_builder_residuals[component=angle].n,mapping_2d_local_trajectory_builder_residuals[component=angle].p50,mapping_2d_local_trajectory_builder_residuals[component=angle].p90,mapping_2d_local_trajectory_builder_residuals[component=angle].p95,mapping_2d_local_trajectory_builder_residuals[component=angle].peak_boundary,mapping_2d_local_trajectory_builder_residuals[component=angle].peak_count,mapping_2d_local_trajectory_builder_residuals[component=distance].n,mapping_2d_local_trajectory_builder_residuals[component=distance].p50,mapping_2d_local_trajectory_builder_residuals[component=distance].p90,mapping_2d_local_trajectory_builder_residuals[component=distance].p95,mapping_2d_local_trajectory_builder_residuals[component=distance].peak_boundary,mapping_2d_local_trajectory_builder_residuals[component=distance].peak_count,mapping_2d_local_trajectory_builder_scores[scan_matcher=real_time_correlative].n,mapping_2d_pose_graph_constraints[tag=inter_submap_trajectory=different],mapping_2d_pose_graph_constraints[tag=inter_submap_trajectory=same],mapping_2d_pose_graph_submaps[state=active],mapping_2d_pose_graph_submaps[state=deleted],mapping_2d_pose_graph_submaps[state=frozen],mapping_2d_pose_graph_work_queue_delay,mapping_2d_pose_graph_work_queue_size,mapping_3d_pose_graph_constraints[tag=inter_submap_trajectory=different],mapping_3d_pose_graph_constraints[tag=inter_submap_trajectory=same],mapping_3d_pose_graph_submaps[state=active],mapping_3d_pose_graph_submaps[state=deleted],mapping_3d_pose_graph_submaps[state=frozen],mapping_3d_pose_graph_work_queue_delay,mapping_3d_pose_graph_work_queue_size,mapping_constraints_constraint_builder_2d_constraints[matcher=found_search_region=global],mapping_constraints_constraint_builder_2d_constraints[matcher=found_search_region=local],mapping_constraints_constraint_builder_2d_constraints[matcher=searched_search_region=global],mapping_constraints_constraint_builder_2d_constraints[matcher=searched_search_region=local],mapping_constraints_constraint_builder_2d_num_submap_scan_matchers,mapping_constraints_constraint_builder_2d_queue_length,mapping_constraints_constraint_builder_2d_scores[search_region=global].n,mapping_constraints_constraint_builder_2d_scores[search_region=global].p50,mapping_constraints_constraint_builder_2d_scores[search_region=global].p90,mapping_constraints_constraint_builder_2d_scores[search_region=global].p95,mapping_constraints_constraint_builder_2d_scores[search_region=global].peak_boundary,mapping_constraints_constraint_builder_2d_scores[search_region=global].peak_count,mapping_constraints_constraint_builder_2d_scores[search_region=local].n,mapping_constraints_constraint_builder_2d_scores[search_region=local].p50,mapping_constraints_constraint_builder_2d_scores[search_region=local].p90,mapping_constraints_constraint_builder_2d_scores[search_region=local].p95,mapping_constraints_constraint_builder_2d_scores[search_region=local].peak_boundary,mapping_constraints_constraint_builder_2d_scores[search_region=local].peak_count,mapping_constraints_constraint_builder_3d_constraints[matcher=found_search_region=global],mapping_constraints_constraint_builder_3d_constraints[matcher=found_search_region=local],mapping_constraints_constraint_builder_3d_constraints[matcher=searched_search_region=global],mapping_constraints_constraint_builder_3d_constraints[matcher=searched_search_region=local],mapping_constraints_constraint_builder_3d_num_submap_scan_matchers,mapping_constraints_constraint_builder_3d_queue_length,mapping_constraints_constraint_builder_3d_scores[kind=low_resolution_score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=low_resolution_score_search_region=local].n,mapping_constraints_constraint_builder_3d_scores[kind=rotational_score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=rotational_score_search_region=local].n,mapping_constraints_constraint_builder_3d_scores[kind=score_search_region=global].n,mapping_constraints_constraint_builder_3d_scores[kind=score_search_region=local].n
2026-05-14T17:18:23.655681,0.044376373291015625,1,31.0,inf,inf,inf,inf,31.0,1.251136570513511,0.046184841,0.43212230610472385,31.0,0.01,0.01,0.01,0.01,31.0,31.0,0.01,0.02,0.04,0.01,19.0,0,0.0,0.0,1.0,0.0,14.0,1.944e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:24.704923,1.093627691268921,2,73.0,inf,inf,inf,inf,73.0,3.8341823219919884,0.017914747,1.674525462179287,73.0,0.01,0.01,0.01,0.01,73.0,73.0,0.01,0.02,0.04,0.01,51.0,0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:25.739559,2.1282639503479004,3,114.0,inf,inf,inf,inf,114.0,2.4309594831992487,0.028364431,0.7059334276791944,114.0,0.01,0.01,0.01,0.01,114.0,114.0,0.01,0.02,0.02,0.01,84.0,0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,,,,,,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:26.788333,3.1770379543304443,4,156.0,inf,inf,inf,inf,127.0,14.644234072744934,0.001366311,14.631222320540491,156.0,0.01,0.01,0.01,0.01,155.0,156.0,0.01,0.04,0.04,0.01,94.0,0,1.0,0.0,1.0,0.0,14.0,6.336e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.65,0.65,0.65,0.65,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:27.839047,4.227752447128296,5,197.0,inf,inf,inf,inf,127.0,2.6989000505138847,0.017530132,1.1386679803666053,197.0,0.01,0.01,0.01,0.01,196.0,197.0,0.01,0.04,0.04,0.01,105.0,0,2.0,0.0,1.0,0.0,14.0,2.578e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0,0.65,0.7000000000000001,0.7000000000000001,0.65,1.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:28.897696,5.286399602890015,6,240.0,inf,inf,inf,inf,139.0,11.94568519558338,0.002520242,11.943376866189835,240.0,0.01,0.01,0.02,0.01,226.0,240.0,0.01,0.04,0.04,0.01,123.0,0,3.0,0.0,2.0,0.0,14.0,0.002542605,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,7.0,0.0,3.0,0.65,0.7000000000000001,0.7000000000000001,0.65,2.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:29.935095,6.32379937171936,7,281.0,inf,inf,inf,inf,149.0,2.6516913018742625,0.017599871,1.1368662872585829,281.0,0.01,0.01,0.02,0.01,264.0,281.0,0.01,0.04,0.04,0.01,142.0,0,4.0,0.0,2.0,0.0,14.0,3.368e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,7.0,0.0,4.0,0.65,0.7000000000000001,0.7000000000000001,0.65,3.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:30.973654,7.362358331680298,8,323.0,inf,inf,inf,inf,177.0,2.5930678506128944,0.021700594,1.3904872834356516,323.0,0.01,0.01,0.02,0.01,300.0,323.0,0.01,0.04,0.04,0.01,166.0,0,6.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,7.0,1.0,6.0,0.65,0.8000000000000002,0.8000000000000002,0.65,4.0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:32.012224,8.400928735733032,9,364.0,81.92,inf,inf,inf,178.0,2.157251654874117,0.029433173,0.681479363437982,364.0,0.01,0.01,0.02,0.01,339.0,364.0,0.01,0.04,0.04,0.01,188.0,0,10.0,1.0,3.0,0.0,14.0,3.544e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,22.0,1.0,8.0,0.0,10.0,0.7000000000000001,0.8000000000000002,0.8000000000000002,0.65,4.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:33.046323,9.435027360916138,10,406.0,81.92,inf,inf,inf,186.0,10.645820334961064,0.001880636,10.642463507026347,406.0,0.01,0.01,0.02,0.01,380.0,406.0,0.02,0.04,0.04,0.01,194.0,0,11.0,1.0,3.0,0.0,14.0,2.5865e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,24.0,1.0,8.0,0.0,11.0,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.65,4.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:34.101363,10.490064859390259,11,447.0,81.92,inf,inf,inf,216.0,1.2467309351916462,0.036498605,0.5462975913736977,447.0,0.01,0.01,0.02,0.01,418.0,447.0,0.02,0.04,0.04,0.01,198.0,0,12.0,1.0,3.0,0.0,14.0,4.1271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,26.0,1.0,8.0,0.0,12.0,0.7000000000000001,0.8000000000000002,0.8000000000000002,0.65,5.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:35.145554,11.53425908088684,12,489.0,81.92,inf,inf,81.92,218.0,2.17304000850769,0.019503265,1.0257000558624416,489.0,0.01,0.01,0.02,0.01,455.0,489.0,0.02,0.04,0.04,0.01,198.0,0,18.0,1.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,36.0,2.0,9.0,0.0,18.0,0.7000000000000001,0.8000000000000002,0.8500000000000002,0.65,7.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:36.173573,12.562278747558594,13,530.0,81.92,inf,inf,81.92,255.0,2.4406800199175303,0.032423138,0.9268535328073427,530.0,0.01,0.01,0.02,0.01,487.0,530.0,0.02,0.04,0.04,0.01,210.0,0,18.0,1.0,4.0,0.0,14.0,2.759e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,39.0,2.0,9.0,0.0,18.0,0.7000000000000001,0.8000000000000002,0.8500000000000002,0.65,7.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:37.215048,13.603752374649048,14,572.0,81.92,inf,inf,81.92,264.0,8.214149920694044,0.002439138,8.210482555722555,572.0,0.01,0.01,0.02,0.01,529.0,572.0,0.02,0.04,0.04,0.01,221.0,0,18.0,0.0,4.0,1.0,14.0,8.255e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,49.0,3.0,9.0,1.0,24.0,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.7500000000000001,8.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:38.257155,14.645860433578491,15,614.0,81.92,inf,inf,inf,291.0,1.708215348328687,0.030860002,0.594834698973772,614.0,0.01,0.01,0.02,0.01,571.0,614.0,0.02,0.04,0.04,0.01,236.0,0,18.0,0.0,4.0,1.0,14.0,2.902e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,50.0,3.0,9.0,0.0,24.0,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.7500000000000001,8.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:39.313301,15.702005863189697,16,656.0,81.92,inf,inf,inf,307.0,8.066067066981354,0.002478386,8.065491009068,656.0,0.01,0.01,0.02,0.01,611.0,656.0,0.02,0.04,0.04,0.01,245.0,0,19.0,0.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,51.0,3.0,9.0,0.0,25.0,0.7500000000000001,0.8000000000000002,0.8000000000000002,0.7500000000000001,8.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-05-14T17:18:40.354243,16.742948055267334,17,697.0,81.92,inf,inf,inf,329.0,2.0631799727729496,0.034641356,0.5817786116686656,697.0,0.01,0.01,0.02,0.01,641.0,697.0,0.02,0.04,0.04,0.01,264.0,0,15.0,0.0,4.0,2.0,14.0,3.045e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,61.0,4.0,8.0,0.0,28.0,0.7000000000000001,0.8000000000000002,0.8000000000000002,0.7500000000000001,8.0,1.0,0.8500000000000002,0.8500000000000002,0.8500000000000002,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
